frecuencia,Z/Cp/Cs,Tetha/Rp/D,
2.00E+01,5.96E-06,1.11E+03,
2.11E+01,5.80E-06,1.08E+03,
2.23E+01,5.62E-06,1.06E+03,
2.35E+01,5.41E-06,1.03E+03,
2.48E+01,5.22E-06,1.00E+03,
2.62E+01,5.01E-06,9.77E+02,
2.77E+01,4.80E-06,9.52E+02,
2.92E+01,4.61E-06,9.28E+02,
3.08E+01,4.41E-06,9.04E+02,
3.26E+01,4.22E-06,8.82E+02,
3.44E+01,4.04E-06,8.59E+02,
3.63E+01,3.86E-06,8.38E+02,
3.83E+01,3.68E-06,8.17E+02,
4.04E+01,3.52E-06,7.97E+02,
4.27E+01,3.35E-06,7.78E+02,
4.50E+01,3.19E-06,7.60E+02,
4.75E+01,3.04E-06,7.42E+02,
5.02E+01,2.89E-06,7.25E+02,
5.30E+01,2.74E-06,7.09E+02,
5.59E+01,2.61E-06,6.93E+02,
5.90E+01,2.47E-06,6.78E+02,
6.23E+01,2.34E-06,6.64E+02,
6.58E+01,2.22E-06,6.50E+02,
6.94E+01,2.10E-06,6.37E+02,
7.33E+01,1.99E-06,6.24E+02,
7.73E+01,1.88E-06,6.11E+02,
8.16E+01,1.78E-06,5.99E+02,
8.62E+01,1.68E-06,5.87E+02,
9.10E+01,1.58E-06,5.76E+02,
9.60E+01,1.49E-06,5.65E+02,
1.01E+02,1.40E-06,5.55E+02,
1.07E+02,1.32E-06,5.45E+02,
1.13E+02,1.24E-06,5.35E+02,
1.19E+02,1.16E-06,5.26E+02,
1.26E+02,1.09E-06,5.18E+02,
1.33E+02,1.02E-06,5.10E+02,
1.40E+02,9.53E-07,5.02E+02,
1.48E+02,8.91E-07,4.94E+02,
1.56E+02,8.31E-07,4.87E+02,
1.65E+02,7.76E-07,4.80E+02,
1.74E+02,7.23E-07,4.74E+02,
1.84E+02,6.73E-07,4.68E+02,
1.94E+02,6.26E-07,4.62E+02,
2.05E+02,5.82E-07,4.56E+02,
2.16E+02,5.40E-07,4.51E+02,
2.28E+02,5.02E-07,4.46E+02,
2.41E+02,4.65E-07,4.41E+02,
2.54E+02,4.31E-07,4.37E+02,
2.68E+02,3.99E-07,4.33E+02,
2.83E+02,3.69E-07,4.29E+02,
2.99E+02,3.41E-07,4.25E+02,
3.16E+02,3.15E-07,4.21E+02,
3.33E+02,2.90E-07,4.18E+02,
3.52E+02,2.68E-07,4.15E+02,
3.71E+02,2.47E-07,4.12E+02,
3.92E+02,2.27E-07,4.09E+02,
4.14E+02,2.09E-07,4.06E+02,
4.37E+02,1.92E-07,4.04E+02,
4.61E+02,1.77E-07,4.02E+02,
4.87E+02,1.63E-07,3.99E+02,
5.14E+02,1.49E-07,3.97E+02,
5.42E+02,1.37E-07,3.95E+02,
5.72E+02,1.26E-07,3.93E+02,
6.04E+02,1.15E-07,3.92E+02,
6.38E+02,1.06E-07,3.90E+02,
6.73E+02,9.70E-08,3.89E+02,
7.11E+02,8.89E-08,3.87E+02,
7.50E+02,8.14E-08,3.86E+02,
7.92E+02,7.46E-08,3.85E+02,
8.36E+02,6.84E-08,3.83E+02,
8.82E+02,6.26E-08,3.82E+02,
9.32E+02,5.73E-08,3.81E+02,
9.83E+02,5.25E-08,3.80E+02,
1.04E+03,4.80E-08,3.79E+02,
1.10E+03,4.40E-08,3.78E+02,
1.16E+03,4.03E-08,3.78E+02,
1.22E+03,3.69E-08,3.77E+02,
1.29E+03,3.38E-08,3.76E+02,
1.36E+03,3.10E-08,3.75E+02,
1.44E+03,2.84E-08,3.75E+02,
1.52E+03,2.60E-08,3.74E+02,
1.60E+03,2.38E-08,3.74E+02,
1.69E+03,2.18E-08,3.73E+02,
1.78E+03,2.00E-08,3.73E+02,
1.88E+03,1.84E-08,3.72E+02,
1.99E+03,1.69E-08,3.72E+02,
2.10E+03,1.55E-08,3.71E+02,
2.21E+03,1.42E-08,3.71E+02,
2.34E+03,1.31E-08,3.70E+02,
2.47E+03,1.20E-08,3.70E+02,
2.60E+03,1.10E-08,3.70E+02,
2.75E+03,1.02E-08,3.69E+02,
2.90E+03,9.36E-09,3.69E+02,
3.06E+03,8.63E-09,3.69E+02,
3.23E+03,7.95E-09,3.68E+02,
3.41E+03,7.33E-09,3.68E+02,
3.60E+03,6.77E-09,3.68E+02,
3.80E+03,6.25E-09,3.68E+02,
4.01E+03,5.77E-09,3.67E+02,
4.24E+03,5.34E-09,3.67E+02,
4.47E+03,4.94E-09,3.67E+02,
4.72E+03,4.58E-09,3.67E+02,
4.98E+03,4.24E-09,3.66E+02,
5.26E+03,3.94E-09,3.66E+02,
5.55E+03,3.65E-09,3.66E+02,
5.86E+03,3.39E-09,3.66E+02,
6.19E+03,3.15E-09,3.66E+02,
6.53E+03,2.93E-09,3.65E+02,
6.89E+03,2.73E-09,3.65E+02,
7.28E+03,2.55E-09,3.65E+02,
7.68E+03,2.38E-09,3.65E+02,
8.11E+03,2.22E-09,3.65E+02,
8.56E+03,2.07E-09,3.65E+02,
9.04E+03,1.94E-09,3.64E+02,
9.54E+03,1.81E-09,3.64E+02,
1.01E+04,1.70E-09,3.64E+02,
1.06E+04,1.59E-09,3.64E+02,
1.12E+04,1.49E-09,3.64E+02,
1.18E+04,1.40E-09,3.64E+02,
1.25E+04,1.32E-09,3.63E+02,
1.32E+04,1.24E-09,3.63E+02,
1.39E+04,1.17E-09,3.63E+02,
