frecuencia,Z/Cp/Cs,Tetha/Rp/D,
2.00E+01,4.49E-06,8.69E+02,
2.11E+01,4.68E-06,9.15E+02,
2.23E+01,4.65E-06,9.14E+02,
2.35E+01,4.55E-06,9.05E+02,
2.48E+01,4.44E-06,8.93E+02,
2.62E+01,4.34E-06,8.82E+02,
2.77E+01,4.20E-06,8.65E+02,
2.92E+01,4.07E-06,8.50E+02,
3.08E+01,3.94E-06,8.35E+02,
3.26E+01,3.81E-06,8.19E+02,
3.44E+01,3.67E-06,8.02E+02,
3.63E+01,3.53E-06,7.86E+02,
3.83E+01,3.39E-06,7.70E+02,
4.04E+01,3.25E-06,7.54E+02,
4.27E+01,3.12E-06,7.39E+02,
4.50E+01,2.99E-06,7.23E+02,
4.75E+01,2.87E-06,7.09E+02,
5.02E+01,2.75E-06,6.94E+02,
5.30E+01,2.62E-06,6.80E+02,
5.59E+01,2.51E-06,6.66E+02,
5.90E+01,2.39E-06,6.53E+02,
6.23E+01,2.28E-06,6.40E+02,
6.58E+01,2.18E-06,6.27E+02,
6.94E+01,2.07E-06,6.15E+02,
7.33E+01,1.97E-06,6.03E+02,
7.73E+01,1.88E-06,5.91E+02,
8.16E+01,1.78E-06,5.80E+02,
8.62E+01,1.69E-06,5.69E+02,
9.10E+01,1.61E-06,5.58E+02,
9.60E+01,1.52E-06,5.48E+02,
1.01E+02,1.44E-06,5.38E+02,
1.07E+02,1.36E-06,5.28E+02,
1.13E+02,1.29E-06,5.19E+02,
1.19E+02,1.22E-06,5.10E+02,
1.26E+02,1.15E-06,5.01E+02,
1.33E+02,1.09E-06,4.93E+02,
1.40E+02,1.02E-06,4.85E+02,
1.48E+02,9.62E-07,4.77E+02,
1.56E+02,9.05E-07,4.70E+02,
1.65E+02,8.50E-07,4.63E+02,
1.74E+02,7.98E-07,4.56E+02,
1.84E+02,7.48E-07,4.49E+02,
1.94E+02,7.01E-07,4.43E+02,
2.05E+02,6.56E-07,4.37E+02,
2.16E+02,6.13E-07,4.31E+02,
2.28E+02,5.73E-07,4.25E+02,
2.41E+02,5.35E-07,4.20E+02,
2.54E+02,4.99E-07,4.15E+02,
2.68E+02,4.65E-07,4.10E+02,
2.83E+02,4.33E-07,4.05E+02,
2.99E+02,4.03E-07,4.01E+02,
3.16E+02,3.74E-07,3.97E+02,
3.33E+02,3.48E-07,3.93E+02,
3.52E+02,3.22E-07,3.89E+02,
3.71E+02,2.99E-07,3.85E+02,
3.92E+02,2.77E-07,3.82E+02,
4.14E+02,2.56E-07,3.78E+02,
4.37E+02,2.37E-07,3.75E+02,
4.61E+02,2.19E-07,3.72E+02,
4.87E+02,2.02E-07,3.70E+02,
5.14E+02,1.86E-07,3.67E+02,
5.42E+02,1.72E-07,3.64E+02,
5.72E+02,1.58E-07,3.62E+02,
6.04E+02,1.46E-07,3.60E+02,
6.38E+02,1.34E-07,3.58E+02,
6.73E+02,1.23E-07,3.56E+02,
7.11E+02,1.13E-07,3.54E+02,
7.50E+02,1.04E-07,3.52E+02,
7.92E+02,9.55E-08,3.50E+02,
8.36E+02,8.77E-08,3.49E+02,
8.82E+02,8.05E-08,3.47E+02,
9.32E+02,7.38E-08,3.46E+02,
9.83E+02,6.77E-08,3.44E+02,
1.04E+03,6.20E-08,3.43E+02,
1.10E+03,5.68E-08,3.42E+02,
1.16E+03,5.21E-08,3.41E+02,
1.22E+03,4.77E-08,3.40E+02,
1.29E+03,4.37E-08,3.39E+02,
1.36E+03,4.00E-08,3.38E+02,
1.44E+03,3.66E-08,3.37E+02,
1.52E+03,3.36E-08,3.36E+02,
1.60E+03,3.07E-08,3.35E+02,
1.69E+03,2.81E-08,3.35E+02,
1.78E+03,2.58E-08,3.34E+02,
1.88E+03,2.36E-08,3.33E+02,
1.99E+03,2.16E-08,3.32E+02,
2.10E+03,1.98E-08,3.32E+02,
2.21E+03,1.82E-08,3.31E+02,
2.34E+03,1.66E-08,3.31E+02,
2.47E+03,1.53E-08,3.30E+02,
2.60E+03,1.40E-08,3.30E+02,
2.75E+03,1.28E-08,3.29E+02,
2.90E+03,1.18E-08,3.29E+02,
3.06E+03,1.08E-08,3.28E+02,
3.23E+03,9.93E-09,3.28E+02,
3.41E+03,9.12E-09,3.28E+02,
3.60E+03,8.38E-09,3.27E+02,
3.80E+03,7.71E-09,3.27E+02,
