frecuencia,Z/Cp/Cs,Tetha/Rp/D,
2.00E+01,6.51E-06,9.45E+02,
2.11E+01,6.53E-06,9.02E+02,
2.23E+01,6.15E-06,8.92E+02,
2.35E+01,5.03E-06,9.37E+02,
2.48E+01,4.82E-06,9.16E+02,
2.62E+01,4.63E-06,8.95E+02,
2.77E+01,4.43E-06,8.76E+02,
2.92E+01,4.25E-06,8.57E+02,
3.08E+01,4.07E-06,8.38E+02,
3.26E+01,3.90E-06,8.20E+02,
3.44E+01,3.72E-06,8.02E+02,
3.63E+01,3.55E-06,7.85E+02,
3.83E+01,3.39E-06,7.68E+02,
4.04E+01,3.23E-06,7.52E+02,
4.27E+01,3.08E-06,7.36E+02,
4.50E+01,2.93E-06,7.21E+02,
4.75E+01,2.79E-06,7.06E+02,
5.02E+01,2.65E-06,6.92E+02,
5.30E+01,2.52E-06,6.78E+02,
5.59E+01,2.39E-06,6.65E+02,
5.90E+01,2.27E-06,6.52E+02,
6.23E+01,2.15E-06,6.40E+02,
6.58E+01,2.04E-06,6.28E+02,
6.94E+01,1.93E-06,6.16E+02,
7.33E+01,1.83E-06,6.05E+02,
7.73E+01,1.73E-06,5.94E+02,
8.16E+01,1.63E-06,5.84E+02,
8.62E+01,1.54E-06,5.73E+02,
9.10E+01,1.46E-06,5.64E+02,
9.60E+01,1.37E-06,5.54E+02,
1.01E+02,1.29E-06,5.45E+02,
1.07E+02,1.22E-06,5.36E+02,
1.13E+02,1.15E-06,5.28E+02,
1.19E+02,1.08E-06,5.20E+02,
1.26E+02,1.01E-06,5.11E+02,
1.33E+02,9.50E-07,5.04E+02,
1.40E+02,8.91E-07,4.97E+02,
1.48E+02,8.35E-07,4.90E+02,
1.56E+02,7.81E-07,4.83E+02,
1.65E+02,7.31E-07,4.77E+02,
1.74E+02,6.84E-07,4.71E+02,
1.84E+02,6.38E-07,4.65E+02,
1.94E+02,5.95E-07,4.59E+02,
2.05E+02,5.54E-07,4.54E+02,
2.16E+02,5.17E-07,4.49E+02,
2.28E+02,4.81E-07,4.44E+02,
2.41E+02,4.47E-07,4.39E+02,
2.54E+02,4.16E-07,4.34E+02,
2.68E+02,3.86E-07,4.30E+02,
2.83E+02,3.57E-07,4.26E+02,
2.99E+02,3.31E-07,4.22E+02,
3.16E+02,3.06E-07,4.19E+02,
3.33E+02,2.83E-07,4.15E+02,
3.52E+02,2.61E-07,4.12E+02,
3.71E+02,2.41E-07,4.09E+02,
3.92E+02,2.22E-07,4.06E+02,
4.14E+02,2.05E-07,4.03E+02,
4.37E+02,1.89E-07,4.00E+02,
4.61E+02,1.74E-07,3.98E+02,
4.87E+02,1.59E-07,3.96E+02,
5.14E+02,1.46E-07,3.94E+02,
5.42E+02,1.34E-07,3.91E+02,
5.72E+02,1.23E-07,3.90E+02,
6.04E+02,1.13E-07,3.88E+02,
6.38E+02,1.03E-07,3.86E+02,
6.73E+02,9.47E-08,3.84E+02,
7.11E+02,8.65E-08,3.83E+02,
7.50E+02,7.91E-08,3.81E+02,
7.92E+02,7.23E-08,3.80E+02,
8.36E+02,6.60E-08,3.79E+02,
8.82E+02,6.03E-08,3.78E+02,
