frecuencia,Z/Cp/Cs,Tetha/Rp/D,
4.83E+04,1.20E-10,4.85E+02,
5.10E+04,1.17E-10,4.85E+02,
5.39E+04,1.14E-10,4.85E+02,
5.69E+04,1.11E-10,4.84E+02,
6.00E+04,1.09E-10,4.85E+02,
6.34E+04,1.06E-10,4.84E+02,
6.69E+04,1.04E-10,4.84E+02,
7.06E+04,1.02E-10,4.84E+02,
7.45E+04,1.00E-10,4.84E+02,
7.87E+04,9.83E-11,4.84E+02,
8.30E+04,9.66E-11,4.84E+02,
8.77E+04,9.50E-11,4.84E+02,
9.25E+04,9.35E-11,4.84E+02,
9.77E+04,9.20E-11,4.84E+02,
1.03E+05,9.07E-11,4.83E+02,
1.09E+05,8.94E-11,4.83E+02,
1.15E+05,8.81E-11,4.83E+02,
1.21E+05,8.69E-11,4.83E+02,
1.28E+05,8.57E-11,4.82E+02,
1.35E+05,8.46E-11,4.82E+02,
1.43E+05,8.37E-11,4.82E+02,
1.51E+05,8.26E-11,4.82E+02,
1.59E+05,8.17E-11,4.82E+02,
1.68E+05,8.07E-11,4.81E+02,
1.77E+05,7.98E-11,4.81E+02,
1.87E+05,7.89E-11,4.81E+02,
1.97E+05,7.82E-11,4.81E+02,
2.08E+05,7.73E-11,4.81E+02,
2.20E+05,7.66E-11,4.80E+02,
2.32E+05,7.57E-11,4.80E+02,
2.45E+05,7.49E-11,4.79E+02,
2.59E+05,7.42E-11,4.79E+02,
2.73E+05,7.36E-11,4.79E+02,
2.88E+05,7.28E-11,4.78E+02,
3.04E+05,7.21E-11,4.78E+02,
3.21E+05,7.14E-11,4.78E+02,
3.39E+05,7.08E-11,4.77E+02,
3.58E+05,7.02E-11,4.77E+02,
3.78E+05,6.95E-11,4.77E+02,
3.99E+05,6.89E-11,4.76E+02,
4.21E+05,6.83E-11,4.76E+02,
4.44E+05,6.77E-11,4.75E+02,
4.69E+05,6.71E-11,4.75E+02,
4.95E+05,6.64E-11,4.74E+02,
5.23E+05,6.58E-11,4.73E+02,
5.52E+05,6.53E-11,4.73E+02,
5.82E+05,6.47E-11,4.72E+02,
6.15E+05,6.41E-11,4.71E+02,
6.49E+05,6.35E-11,4.70E+02,
6.85E+05,6.29E-11,4.69E+02,
7.23E+05,6.23E-11,4.68E+02,
7.63E+05,6.17E-11,4.67E+02,
8.05E+05,6.11E-11,4.66E+02,
8.50E+05,6.05E-11,4.65E+02,
8.98E+05,5.99E-11,4.64E+02,
9.47E+05,5.94E-11,4.63E+02,
1.00E+06,5.87E-11,4.61E+02,
