frecuencia,Z/Cp/Cs,Tetha/Rp/D,
2.00E+01,5.66E-06,1.19E+03,
2.11E+01,5.56E-06,1.14E+03,
2.23E+01,5.39E-06,1.10E+03,
2.35E+01,5.21E-06,1.07E+03,
2.48E+01,5.02E-06,1.03E+03,
2.62E+01,4.83E-06,1.01E+03,
2.77E+01,4.63E-06,9.80E+02,
2.92E+01,4.44E-06,9.56E+02,
3.08E+01,4.25E-06,9.32E+02,
3.26E+01,4.07E-06,9.06E+02,
3.44E+01,3.89E-06,8.84E+02,
3.63E+01,3.72E-06,8.63E+02,
3.83E+01,3.55E-06,8.43E+02,
4.04E+01,3.39E-06,8.23E+02,
4.27E+01,3.23E-06,8.04E+02,
4.50E+01,3.08E-06,7.85E+02,
4.75E+01,2.93E-06,7.68E+02,
5.02E+01,2.78E-06,7.50E+02,
5.30E+01,2.65E-06,7.35E+02,
5.59E+01,2.52E-06,7.21E+02,
5.90E+01,2.39E-06,7.05E+02,
6.23E+01,2.27E-06,6.92E+02,
6.58E+01,2.15E-06,6.78E+02,
6.94E+01,2.03E-06,6.64E+02,
7.33E+01,1.93E-06,6.52E+02,
7.73E+01,1.82E-06,6.40E+02,
8.16E+01,1.72E-06,6.28E+02,
8.62E+01,1.63E-06,6.16E+02,
9.10E+01,1.54E-06,6.04E+02,
9.60E+01,1.45E-06,5.93E+02,
1.01E+02,1.36E-06,5.83E+02,
1.07E+02,1.29E-06,5.73E+02,
1.13E+02,1.21E-06,5.63E+02,
1.19E+02,1.14E-06,5.54E+02,
1.26E+02,1.07E-06,5.44E+02,
1.33E+02,1.00E-06,5.36E+02,
1.40E+02,9.37E-07,5.28E+02,
1.48E+02,8.77E-07,5.20E+02,
1.56E+02,8.19E-07,5.12E+02,
1.65E+02,7.66E-07,5.05E+02,
1.74E+02,7.15E-07,4.98E+02,
1.84E+02,6.66E-07,4.91E+02,
1.94E+02,6.20E-07,4.85E+02,
2.05E+02,5.77E-07,4.79E+02,
2.16E+02,5.36E-07,4.73E+02,
2.28E+02,4.98E-07,4.68E+02,
2.41E+02,4.62E-07,4.62E+02,
2.54E+02,4.29E-07,4.58E+02,
2.68E+02,3.97E-07,4.53E+02,
2.83E+02,3.67E-07,4.48E+02,
2.99E+02,3.39E-07,4.44E+02,
3.16E+02,3.13E-07,4.40E+02,
3.33E+02,2.89E-07,4.36E+02,
3.52E+02,2.66E-07,4.33E+02,
3.71E+02,2.45E-07,4.29E+02,
3.92E+02,2.25E-07,4.26E+02,
4.14E+02,2.07E-07,4.23E+02,
4.37E+02,1.90E-07,4.20E+02,
4.61E+02,1.74E-07,4.18E+02,
4.87E+02,1.60E-07,4.15E+02,
5.14E+02,1.46E-07,4.13E+02,
5.42E+02,1.34E-07,4.11E+02,
5.72E+02,1.23E-07,4.09E+02,
6.04E+02,1.12E-07,4.07E+02,
6.38E+02,1.02E-07,4.05E+02,
6.73E+02,9.34E-08,4.03E+02,
7.11E+02,8.52E-08,4.02E+02,
7.50E+02,7.77E-08,4.00E+02,
7.92E+02,7.09E-08,3.99E+02,
8.36E+02,6.46E-08,3.98E+02,
8.82E+02,5.88E-08,3.97E+02,
9.32E+02,5.35E-08,3.96E+02,
9.83E+02,4.87E-08,3.95E+02,
1.04E+03,4.43E-08,3.93E+02,
1.10E+03,4.02E-08,3.93E+02,
1.16E+03,3.66E-08,3.92E+02,
1.22E+03,3.32E-08,3.91E+02,
1.29E+03,3.02E-08,3.90E+02,
1.36E+03,2.75E-08,3.90E+02,
1.44E+03,2.49E-08,3.89E+02,
1.52E+03,2.26E-08,3.88E+02,
1.60E+03,2.05E-08,3.88E+02,
1.69E+03,1.86E-08,3.87E+02,
1.78E+03,1.69E-08,3.87E+02,
1.88E+03,1.53E-08,3.86E+02,
1.99E+03,1.39E-08,3.86E+02,
2.10E+03,1.26E-08,3.86E+02,
2.21E+03,1.14E-08,3.85E+02,
2.34E+03,1.04E-08,3.85E+02,
2.47E+03,9.40E-09,3.85E+02,
2.60E+03,8.51E-09,3.84E+02,
2.75E+03,7.72E-09,3.84E+02,
2.90E+03,7.00E-09,3.84E+02,
3.06E+03,6.34E-09,3.84E+02,
3.23E+03,5.74E-09,3.84E+02,
3.41E+03,5.21E-09,3.83E+02,
3.60E+03,4.72E-09,3.83E+02,
3.80E+03,4.27E-09,3.83E+02,
4.01E+03,3.87E-09,3.83E+02,
4.24E+03,3.51E-09,3.83E+02,
4.47E+03,3.18E-09,3.83E+02,
4.72E+03,2.88E-09,3.83E+02,
4.98E+03,2.61E-09,3.82E+02,
5.26E+03,2.37E-09,3.82E+02,
5.55E+03,2.15E-09,3.82E+02,
5.86E+03,1.94E-09,3.82E+02,
6.19E+03,1.76E-09,3.82E+02,
6.53E+03,1.60E-09,3.82E+02,
6.89E+03,1.45E-09,3.82E+02,
