frecuencia,Z/Cp/Cs,Tetha/Rp/D,
4.83E+04,1.21E-10,2.88E+02,
5.10E+04,1.15E-10,2.89E+02,
5.39E+04,1.09E-10,2.88E+02,
5.69E+04,1.04E-10,2.88E+02,
6.00E+04,9.96E-11,2.88E+02,
6.34E+04,9.54E-11,2.88E+02,
6.69E+04,9.16E-11,2.89E+02,
7.06E+04,8.81E-11,2.89E+02,
7.45E+04,8.49E-11,2.89E+02,
7.87E+04,8.20E-11,2.89E+02,
8.30E+04,7.94E-11,2.89E+02,
8.77E+04,7.69E-11,2.89E+02,
9.25E+04,7.47E-11,2.89E+02,
9.77E+04,7.26E-11,2.89E+02,
1.03E+05,7.07E-11,2.89E+02,
1.09E+05,6.90E-11,2.89E+02,
1.15E+05,6.73E-11,2.89E+02,
1.21E+05,6.58E-11,2.89E+02,
1.28E+05,6.45E-11,2.89E+02,
1.35E+05,6.33E-11,2.89E+02,
1.43E+05,6.21E-11,2.89E+02,
1.51E+05,6.10E-11,2.89E+02,
1.59E+05,5.99E-11,2.89E+02,
1.68E+05,5.90E-11,2.89E+02,
1.77E+05,5.81E-11,2.89E+02,
1.87E+05,5.72E-11,2.89E+02,
1.97E+05,5.65E-11,2.89E+02,
2.08E+05,5.57E-11,2.89E+02,
2.20E+05,5.50E-11,2.89E+02,
2.32E+05,5.44E-11,2.89E+02,
2.45E+05,5.38E-11,2.89E+02,
2.59E+05,5.32E-11,2.89E+02,
2.73E+05,5.27E-11,2.89E+02,
2.88E+05,5.22E-11,2.89E+02,
3.04E+05,5.17E-11,2.89E+02,
3.21E+05,5.12E-11,2.89E+02,
3.39E+05,5.07E-11,2.89E+02,
3.58E+05,5.03E-11,2.89E+02,
3.78E+05,4.99E-11,2.89E+02,
3.99E+05,4.95E-11,2.89E+02,
4.21E+05,4.91E-11,2.89E+02,
4.44E+05,4.88E-11,2.89E+02,
4.69E+05,4.84E-11,2.89E+02,
4.95E+05,4.81E-11,2.89E+02,
5.23E+05,4.78E-11,2.89E+02,
5.52E+05,4.74E-11,2.89E+02,
5.82E+05,4.71E-11,2.88E+02,
6.15E+05,4.68E-11,2.88E+02,
6.49E+05,4.65E-11,2.88E+02,
6.85E+05,4.62E-11,2.88E+02,
7.23E+05,4.59E-11,2.88E+02,
7.63E+05,4.57E-11,2.88E+02,
8.05E+05,4.54E-11,2.88E+02,
8.50E+05,4.51E-11,2.88E+02,
8.98E+05,4.48E-11,2.88E+02,
9.47E+05,4.46E-11,2.88E+02,
1.00E+06,4.43E-11,2.88E+02,
