frecuencia,Z/Cp/Cs,Tetha/Rp/D,
2.00E+01,6.77E+02,-3.02E+01,
2.11E+01,6.67E+02,-3.12E+01,
2.23E+01,6.55E+02,-3.18E+01,
2.35E+01,6.42E+02,-3.21E+01,
2.48E+01,6.31E+02,-3.19E+01,
2.62E+01,6.19E+02,-3.22E+01,
2.77E+01,6.07E+02,-3.20E+01,
2.92E+01,5.96E+02,-3.19E+01,
3.08E+01,5.85E+02,-3.16E+01,
3.26E+01,5.75E+02,-3.14E+01,
3.44E+01,5.65E+02,-3.11E+01,
3.63E+01,5.55E+02,-3.10E+01,
3.83E+01,5.45E+02,-3.08E+01,
4.04E+01,5.35E+02,-3.06E+01,
4.27E+01,5.26E+02,-3.03E+01,
4.50E+01,5.18E+02,-2.99E+01,
4.75E+01,5.09E+02,-2.96E+01,
5.02E+01,5.01E+02,-2.93E+01,
5.30E+01,4.93E+02,-2.90E+01,
5.59E+01,4.85E+02,-2.86E+01,
5.90E+01,4.78E+02,-2.82E+01,
6.23E+01,4.71E+02,-2.79E+01,
6.58E+01,4.64E+02,-2.74E+01,
6.94E+01,4.57E+02,-2.70E+01,
7.33E+01,4.51E+02,-2.66E+01,
7.73E+01,4.44E+02,-2.62E+01,
8.16E+01,4.38E+02,-2.58E+01,
8.62E+01,4.32E+02,-2.54E+01,
9.10E+01,4.27E+02,-2.49E+01,
9.60E+01,4.21E+02,-2.45E+01,
1.01E+02,4.16E+02,-2.40E+01,
1.07E+02,4.11E+02,-2.36E+01,
1.13E+02,4.06E+02,-2.31E+01,
1.19E+02,4.01E+02,-2.26E+01,
1.26E+02,3.96E+02,-2.22E+01,
1.33E+02,3.92E+02,-2.17E+01,
1.40E+02,3.88E+02,-2.12E+01,
1.48E+02,3.83E+02,-2.08E+01,
1.56E+02,3.79E+02,-2.03E+01,
1.65E+02,3.76E+02,-1.98E+01,
1.74E+02,3.72E+02,-1.93E+01,
1.84E+02,3.69E+02,-1.89E+01,
1.94E+02,3.65E+02,-1.84E+01,
2.05E+02,3.62E+02,-1.79E+01,
2.16E+02,3.59E+02,-1.74E+01,
2.28E+02,3.56E+02,-1.70E+01,
2.41E+02,3.53E+02,-1.65E+01,
2.54E+02,3.50E+02,-1.61E+01,
2.68E+02,3.48E+02,-1.56E+01,
2.83E+02,3.45E+02,-1.52E+01,
2.99E+02,3.43E+02,-1.47E+01,
3.16E+02,3.40E+02,-1.42E+01,
3.33E+02,3.38E+02,-1.38E+01,
3.52E+02,3.36E+02,-1.34E+01,
3.71E+02,3.34E+02,-1.30E+01,
3.92E+02,3.32E+02,-1.25E+01,
4.14E+02,3.31E+02,-1.21E+01,
4.37E+02,3.29E+02,-1.17E+01,
4.61E+02,3.27E+02,-1.13E+01,
4.87E+02,3.26E+02,-1.09E+01,
5.14E+02,3.25E+02,-1.06E+01,
5.42E+02,3.23E+02,-1.02E+01,
5.72E+02,3.22E+02,-9.81E+00,
6.04E+02,3.21E+02,-9.46E+00,
6.38E+02,3.20E+02,-9.11E+00,
6.73E+02,3.19E+02,-8.77E+00,
7.11E+02,3.18E+02,-8.45E+00,
7.50E+02,3.17E+02,-8.13E+00,
7.92E+02,3.16E+02,-7.82E+00,
8.36E+02,3.15E+02,-7.52E+00,
8.82E+02,3.14E+02,-7.23E+00,
9.32E+02,3.14E+02,-6.95E+00,
9.83E+02,3.13E+02,-6.68E+00,
1.04E+03,3.12E+02,-6.41E+00,
1.10E+03,3.12E+02,-6.15E+00,
1.16E+03,3.11E+02,-5.91E+00,
1.22E+03,3.10E+02,-5.67E+00,
1.29E+03,3.10E+02,-5.44E+00,
1.36E+03,3.09E+02,-5.22E+00,
1.44E+03,3.09E+02,-5.01E+00,
1.52E+03,3.08E+02,-4.80E+00,
1.60E+03,3.08E+02,-4.60E+00,
