frecuencia,Z/Cp/Cs,Tetha/Rp/D,
2.00E+01,8.21E+02,-5.65E+01,
2.11E+01,7.91E+02,-5.59E+01,
2.23E+01,7.63E+02,-5.53E+01,
2.35E+01,7.32E+02,-5.52E+01,
2.48E+01,7.13E+02,-5.42E+01,
2.62E+01,6.89E+02,-5.35E+01,
2.77E+01,6.67E+02,-5.29E+01,
2.92E+01,6.46E+02,-5.23E+01,
3.08E+01,6.26E+02,-5.16E+01,
3.26E+01,6.06E+02,-5.09E+01,
3.44E+01,5.88E+02,-5.02E+01,
3.63E+01,5.71E+02,-4.95E+01,
3.83E+01,5.54E+02,-4.88E+01,
4.04E+01,5.38E+02,-4.81E+01,
4.27E+01,5.23E+02,-4.73E+01,
4.50E+01,5.08E+02,-4.66E+01,
4.75E+01,4.95E+02,-4.58E+01,
5.02E+01,4.81E+02,-4.50E+01,
5.30E+01,4.69E+02,-4.42E+01,
5.59E+01,4.57E+02,-4.34E+01,
5.90E+01,4.46E+02,-4.25E+01,
6.23E+01,4.35E+02,-4.17E+01,
6.58E+01,4.25E+02,-4.09E+01,
6.94E+01,4.15E+02,-4.00E+01,
7.33E+01,4.06E+02,-3.92E+01,
7.73E+01,3.97E+02,-3.83E+01,
8.16E+01,3.88E+02,-3.74E+01,
8.62E+01,3.81E+02,-3.65E+01,
9.10E+01,3.73E+02,-3.57E+01,
9.60E+01,3.66E+02,-3.48E+01,
1.01E+02,3.59E+02,-3.39E+01,
1.07E+02,3.53E+02,-3.30E+01,
1.13E+02,3.47E+02,-3.22E+01,
1.19E+02,3.41E+02,-3.13E+01,
1.26E+02,3.36E+02,-3.04E+01,
1.33E+02,3.30E+02,-2.96E+01,
1.40E+02,3.25E+02,-2.87E+01,
1.48E+02,3.21E+02,-2.79E+01,
1.56E+02,3.16E+02,-2.70E+01,
1.65E+02,3.12E+02,-2.62E+01,
1.74E+02,3.08E+02,-2.54E+01,
1.84E+02,3.04E+02,-2.46E+01,
1.94E+02,3.01E+02,-2.38E+01,
2.05E+02,2.97E+02,-2.30E+01,
2.16E+02,2.94E+02,-2.23E+01,
2.28E+02,2.91E+02,-2.15E+01,
2.41E+02,2.88E+02,-2.08E+01,
2.54E+02,2.86E+02,-2.01E+01,
2.68E+02,2.83E+02,-1.94E+01,
2.83E+02,2.81E+02,-1.87E+01,
2.99E+02,2.79E+02,-1.80E+01,
3.16E+02,2.77E+02,-1.74E+01,
3.33E+02,2.74E+02,-1.67E+01,
3.52E+02,2.72E+02,-1.61E+01,
3.71E+02,2.71E+02,-1.55E+01,
3.92E+02,2.69E+02,-1.49E+01,
4.14E+02,2.67E+02,-1.44E+01,
4.37E+02,2.66E+02,-1.38E+01,
4.61E+02,2.65E+02,-1.33E+01,
4.87E+02,2.63E+02,-1.27E+01,
5.14E+02,2.62E+02,-1.22E+01,
5.42E+02,2.61E+02,-1.17E+01,
5.72E+02,2.60E+02,-1.13E+01,
6.04E+02,2.59E+02,-1.08E+01,
6.38E+02,2.58E+02,-1.04E+01,
6.73E+02,2.57E+02,-9.96E+00,
7.11E+02,2.56E+02,-9.55E+00,
7.50E+02,2.55E+02,-9.15E+00,
7.92E+02,2.55E+02,-8.76E+00,
8.36E+02,2.54E+02,-8.40E+00,
8.82E+02,2.53E+02,-8.05E+00,
9.32E+02,2.53E+02,-7.70E+00,
9.83E+02,2.52E+02,-7.38E+00,
1.04E+03,2.51E+02,-7.06E+00,
1.10E+03,2.51E+02,-6.76E+00,
1.16E+03,2.50E+02,-6.47E+00,
1.22E+03,2.50E+02,-6.19E+00,
1.29E+03,2.49E+02,-5.93E+00,
1.36E+03,2.49E+02,-5.67E+00,
1.44E+03,2.49E+02,-5.42E+00,
1.52E+03,2.49E+02,-5.19E+00,
1.60E+03,2.48E+02,-4.96E+00,
1.69E+03,2.48E+02,-4.75E+00,
1.78E+03,2.48E+02,-4.54E+00,
1.88E+03,2.47E+02,-4.34E+00,
1.99E+03,2.47E+02,-4.15E+00,
2.10E+03,2.47E+02,-3.97E+00,
2.21E+03,2.47E+02,-3.79E+00,
2.34E+03,2.46E+02,-3.62E+00,
2.47E+03,2.46E+02,-3.46E+00,
2.60E+03,2.46E+02,-3.31E+00,
2.75E+03,2.46E+02,-3.17E+00,
2.90E+03,2.46E+02,-3.03E+00,
3.06E+03,2.45E+02,-2.89E+00,
3.23E+03,2.45E+02,-2.76E+00,
3.41E+03,2.45E+02,-2.64E+00,
3.60E+03,2.45E+02,-2.53E+00,
3.80E+03,2.45E+02,-2.41E+00,
4.01E+03,2.45E+02,-2.31E+00,
4.24E+03,2.45E+02,-2.21E+00,
4.47E+03,2.45E+02,-2.11E+00,
4.72E+03,2.45E+02,-2.02E+00,
4.98E+03,2.44E+02,-1.93E+00,
5.26E+03,2.44E+02,-1.85E+00,
5.55E+03,2.44E+02,-1.77E+00,
5.86E+03,2.44E+02,-1.69E+00,
6.19E+03,2.44E+02,-1.62E+00,
6.53E+03,2.44E+02,-1.55E+00,
6.89E+03,2.44E+02,-1.48E+00,
7.28E+03,2.44E+02,-1.42E+00,
7.68E+03,2.44E+02,-1.36E+00,
8.11E+03,2.44E+02,-1.30E+00,
