frecuencia,Z/Cp/Cs,Tetha/Rp/D,
2.00E+01,5.26E-06,7.65E+02,
2.11E+01,5.15E-06,7.62E+02,
2.23E+01,4.94E-06,7.52E+02,
2.35E+01,4.83E-06,7.46E+02,
2.48E+01,4.59E-06,7.33E+02,
2.62E+01,4.42E-06,7.22E+02,
2.77E+01,4.25E-06,7.12E+02,
2.92E+01,4.10E-06,7.02E+02,
3.08E+01,3.95E-06,6.92E+02,
3.26E+01,3.78E-06,6.81E+02,
3.44E+01,3.61E-06,6.70E+02,
3.63E+01,3.47E-06,6.59E+02,
3.83E+01,3.32E-06,6.48E+02,
4.04E+01,3.17E-06,6.38E+02,
4.27E+01,3.02E-06,6.27E+02,
4.50E+01,2.89E-06,6.17E+02,
4.75E+01,2.75E-06,6.07E+02,
5.02E+01,2.63E-06,5.97E+02,
5.30E+01,2.50E-06,5.87E+02,
5.59E+01,2.37E-06,5.78E+02,
5.90E+01,2.25E-06,5.68E+02,
6.23E+01,2.14E-06,5.59E+02,
6.58E+01,2.03E-06,5.51E+02,
6.94E+01,1.93E-06,5.42E+02,
7.33E+01,1.82E-06,5.34E+02,
7.73E+01,1.72E-06,5.25E+02,
8.16E+01,1.63E-06,5.18E+02,
8.62E+01,1.54E-06,5.10E+02,
9.10E+01,1.45E-06,5.03E+02,
9.60E+01,1.37E-06,4.95E+02,
1.01E+02,1.29E-06,4.88E+02,
1.07E+02,1.21E-06,4.82E+02,
1.13E+02,1.14E-06,4.75E+02,
1.19E+02,1.07E-06,4.69E+02,
1.26E+02,1.00E-06,4.63E+02,
1.33E+02,9.39E-07,4.57E+02,
1.40E+02,8.79E-07,4.51E+02,
1.48E+02,8.23E-07,4.46E+02,
1.56E+02,7.69E-07,4.41E+02,
1.65E+02,7.19E-07,4.36E+02,
1.74E+02,6.71E-07,4.31E+02,
1.84E+02,6.26E-07,4.26E+02,
1.94E+02,5.83E-07,4.22E+02,
2.05E+02,5.43E-07,4.18E+02,
2.16E+02,5.05E-07,4.14E+02,
2.28E+02,4.70E-07,4.10E+02,
2.41E+02,4.36E-07,4.06E+02,
2.54E+02,4.05E-07,4.03E+02,
2.68E+02,3.76E-07,3.99E+02,
2.83E+02,3.48E-07,3.96E+02,
2.99E+02,3.22E-07,3.93E+02,
3.16E+02,2.98E-07,3.90E+02,
3.33E+02,2.75E-07,3.87E+02,
3.52E+02,2.54E-07,3.84E+02,
3.71E+02,2.35E-07,3.82E+02,
3.92E+02,2.16E-07,3.79E+02,
4.14E+02,1.99E-07,3.77E+02,
4.37E+02,1.83E-07,3.75E+02,
4.61E+02,1.69E-07,3.73E+02,
4.87E+02,1.55E-07,3.71E+02,
5.14E+02,1.42E-07,3.69E+02,
5.42E+02,1.31E-07,3.68E+02,
5.72E+02,1.20E-07,3.66E+02,
6.04E+02,1.10E-07,3.65E+02,
6.38E+02,1.01E-07,3.63E+02,
6.73E+02,9.23E-08,3.62E+02,
7.11E+02,8.44E-08,3.61E+02,
7.50E+02,7.73E-08,3.59E+02,
7.92E+02,7.06E-08,3.58E+02,
8.36E+02,6.46E-08,3.57E+02,
8.82E+02,5.89E-08,3.56E+02,
9.32E+02,5.38E-08,3.56E+02,
9.83E+02,4.91E-08,3.55E+02,
1.04E+03,4.48E-08,3.54E+02,
1.10E+03,4.08E-08,3.53E+02,
1.16E+03,3.73E-08,3.52E+02,
1.22E+03,3.39E-08,3.52E+02,
1.29E+03,3.09E-08,3.51E+02,
1.36E+03,2.82E-08,3.51E+02,
1.44E+03,2.56E-08,3.50E+02,
1.52E+03,2.33E-08,3.50E+02,
1.60E+03,2.12E-08,3.49E+02,
1.69E+03,1.93E-08,3.49E+02,
1.78E+03,1.76E-08,3.49E+02,
1.88E+03,1.60E-08,3.48E+02,
1.99E+03,1.46E-08,3.48E+02,
2.10E+03,1.32E-08,3.47E+02,
2.21E+03,1.20E-08,3.47E+02,
2.34E+03,1.10E-08,3.47E+02,
2.47E+03,9.97E-09,3.47E+02,
2.60E+03,9.06E-09,3.46E+02,
2.75E+03,8.25E-09,3.46E+02,
2.90E+03,7.51E-09,3.46E+02,
3.06E+03,6.83E-09,3.46E+02,
3.23E+03,6.21E-09,3.46E+02,
3.41E+03,5.65E-09,3.46E+02,
3.60E+03,5.14E-09,3.45E+02,
3.80E+03,4.68E-09,3.45E+02,
4.01E+03,4.26E-09,3.45E+02,
4.24E+03,3.88E-09,3.45E+02,
4.47E+03,3.53E-09,3.45E+02,
4.72E+03,3.22E-09,3.45E+02,
4.98E+03,2.93E-09,3.45E+02,
5.26E+03,2.67E-09,3.45E+02,
5.55E+03,2.44E-09,3.45E+02,
5.86E+03,2.23E-09,3.45E+02,
6.19E+03,2.03E-09,3.45E+02,
6.53E+03,1.86E-09,3.45E+02,
6.89E+03,1.70E-09,3.45E+02,
7.28E+03,1.55E-09,3.45E+02,
7.68E+03,1.42E-09,3.45E+02,
8.11E+03,1.30E-09,3.45E+02,
8.56E+03,1.19E-09,3.45E+02,
9.04E+03,1.09E-09,3.45E+02,
9.54E+03,1.00E-09,3.45E+02,
1.01E+04,9.22E-10,3.45E+02,
1.06E+04,8.49E-10,3.45E+02,
1.12E+04,7.82E-10,3.45E+02,
1.18E+04,7.21E-10,3.45E+02,
1.25E+04,6.66E-10,3.45E+02,
1.32E+04,6.15E-10,3.45E+02,
1.39E+04,5.70E-10,3.45E+02,
1.47E+04,5.29E-10,3.46E+02,
1.55E+04,4.90E-10,3.46E+02,
1.64E+04,4.56E-10,3.46E+02,
1.73E+04,4.24E-10,3.46E+02,
1.83E+04,3.96E-10,3.46E+02,
1.93E+04,3.70E-10,3.46E+02,
2.03E+04,3.46E-10,3.46E+02,
2.15E+04,3.24E-10,3.46E+02,
2.27E+04,3.04E-10,3.46E+02,
2.39E+04,2.86E-10,3.46E+02,
2.53E+04,2.69E-10,3.46E+02,
2.67E+04,2.54E-10,3.46E+02,
2.81E+04,2.40E-10,3.46E+02,
2.97E+04,2.28E-10,3.46E+02,
3.14E+04,2.16E-10,3.46E+02,
3.31E+04,2.06E-10,3.46E+02,
3.49E+04,1.96E-10,3.47E+02,
3.69E+04,1.87E-10,3.47E+02,
3.89E+04,1.79E-10,3.47E+02,
4.11E+04,1.71E-10,3.47E+02,
4.34E+04,1.64E-10,3.47E+02,
4.58E+04,1.57E-10,3.47E+02,
4.83E+04,1.51E-10,3.47E+02,
5.10E+04,1.46E-10,3.47E+02,
5.39E+04,1.41E-10,3.47E+02,
5.69E+04,1.36E-10,3.47E+02,
6.00E+04,1.32E-10,3.47E+02,
6.34E+04,1.28E-10,3.48E+02,
6.69E+04,1.24E-10,3.48E+02,
7.06E+04,1.20E-10,3.48E+02,
7.45E+04,1.17E-10,3.48E+02,
7.87E+04,1.14E-10,3.48E+02,
8.30E+04,1.11E-10,3.48E+02,
8.77E+04,1.08E-10,3.48E+02,
9.25E+04,1.06E-10,3.48E+02,
9.77E+04,1.03E-10,3.48E+02,
1.03E+05,1.01E-10,3.48E+02,
1.09E+05,9.90E-11,3.48E+02,
1.15E+05,9.70E-11,3.48E+02,
1.21E+05,9.51E-11,3.48E+02,
1.28E+05,9.33E-11,3.48E+02,
