frecuencia,Z/Cp/Cs,Tetha/Rp/D,
2.00E+01,4.56E-06,1.05E+03,
2.11E+01,4.43E-06,1.03E+03,
2.23E+01,4.30E-06,1.01E+03,
2.35E+01,4.17E-06,9.90E+02,
2.48E+01,4.02E-06,9.71E+02,
2.62E+01,3.87E-06,9.51E+02,
2.77E+01,3.71E-06,9.32E+02,
2.92E+01,3.56E-06,9.13E+02,
3.08E+01,3.40E-06,8.93E+02,
3.26E+01,3.24E-06,8.75E+02,
3.44E+01,3.10E-06,8.58E+02,
3.63E+01,2.96E-06,8.41E+02,
3.83E+01,2.82E-06,8.24E+02,
4.04E+01,2.69E-06,8.08E+02,
4.27E+01,2.56E-06,7.92E+02,
4.50E+01,2.43E-06,7.77E+02,
4.75E+01,2.31E-06,7.63E+02,
5.02E+01,2.19E-06,7.48E+02,
5.30E+01,2.08E-06,7.35E+02,
5.59E+01,1.97E-06,7.21E+02,
5.90E+01,1.86E-06,7.08E+02,
6.23E+01,1.76E-06,6.97E+02,
6.58E+01,1.66E-06,6.85E+02,
6.94E+01,1.57E-06,6.73E+02,
7.33E+01,1.48E-06,6.62E+02,
7.73E+01,1.40E-06,6.52E+02,
8.16E+01,1.31E-06,6.41E+02,
8.62E+01,1.24E-06,6.32E+02,
9.10E+01,1.16E-06,6.23E+02,
9.60E+01,1.09E-06,6.14E+02,
1.01E+02,1.02E-06,6.05E+02,
1.07E+02,9.54E-07,5.97E+02,
1.13E+02,8.93E-07,5.89E+02,
1.19E+02,8.35E-07,5.82E+02,
1.26E+02,7.79E-07,5.74E+02,
1.33E+02,7.28E-07,5.67E+02,
1.40E+02,6.79E-07,5.60E+02,
1.48E+02,6.32E-07,5.54E+02,
1.56E+02,5.88E-07,5.48E+02,
1.65E+02,5.48E-07,5.42E+02,
1.74E+02,5.09E-07,5.37E+02,
1.84E+02,4.72E-07,5.32E+02,
1.94E+02,4.38E-07,5.26E+02,
2.05E+02,4.06E-07,5.21E+02,
2.16E+02,3.76E-07,5.17E+02,
2.28E+02,3.48E-07,5.13E+02,
2.41E+02,3.22E-07,5.09E+02,
2.54E+02,2.97E-07,5.05E+02,
2.68E+02,2.75E-07,5.01E+02,
2.83E+02,2.53E-07,4.97E+02,
2.99E+02,2.33E-07,4.94E+02,
3.16E+02,2.15E-07,4.91E+02,
3.33E+02,1.98E-07,4.88E+02,
3.52E+02,1.82E-07,4.85E+02,
3.71E+02,1.67E-07,4.82E+02,
3.92E+02,1.53E-07,4.79E+02,
4.14E+02,1.41E-07,4.77E+02,
4.37E+02,1.29E-07,4.75E+02,
4.61E+02,1.18E-07,4.73E+02,
4.87E+02,1.08E-07,4.71E+02,
5.14E+02,9.92E-08,4.69E+02,
5.42E+02,9.07E-08,4.67E+02,
5.72E+02,8.30E-08,4.65E+02,
6.04E+02,7.58E-08,4.64E+02,
6.38E+02,6.92E-08,4.62E+02,
