frecuencia,Z/Cp/Cs,Tetha/Rp/D,
4.83E+04,5.59E-10,4.56E+02,
5.10E+04,5.35E-10,4.55E+02,
5.39E+04,5.12E-10,4.54E+02,
5.69E+04,4.91E-10,4.53E+02,
6.00E+04,4.70E-10,4.52E+02,
6.34E+04,4.50E-10,4.51E+02,
6.69E+04,4.32E-10,4.51E+02,
7.06E+04,4.14E-10,4.50E+02,
7.45E+04,3.97E-10,4.49E+02,
7.87E+04,3.81E-10,4.48E+02,
8.30E+04,3.66E-10,4.47E+02,
8.77E+04,3.52E-10,4.46E+02,
9.25E+04,3.38E-10,4.46E+02,
9.77E+04,3.24E-10,4.44E+02,
1.03E+05,3.11E-10,4.43E+02,
1.09E+05,2.99E-10,4.42E+02,
1.15E+05,2.87E-10,4.41E+02,
1.21E+05,2.76E-10,4.40E+02,
1.28E+05,2.66E-10,4.39E+02,
1.35E+05,2.55E-10,4.38E+02,
1.43E+05,2.45E-10,4.37E+02,
1.51E+05,2.35E-10,4.36E+02,
1.59E+05,2.26E-10,4.35E+02,
1.68E+05,2.17E-10,4.33E+02,
1.77E+05,2.09E-10,4.32E+02,
1.87E+05,2.01E-10,4.31E+02,
1.97E+05,1.93E-10,4.30E+02,
2.08E+05,1.86E-10,4.29E+02,
2.20E+05,1.78E-10,4.27E+02,
2.32E+05,1.44E-10,4.09E+02,
2.45E+05,9.74E-11,3.79E+02,
2.59E+05,8.67E-11,3.74E+02,
2.73E+05,8.17E-11,3.72E+02,
2.88E+05,7.81E-11,3.71E+02,
3.04E+05,7.51E-11,3.70E+02,
3.21E+05,7.24E-11,3.69E+02,
3.39E+05,6.99E-11,3.69E+02,
3.58E+05,6.76E-11,3.68E+02,
3.78E+05,6.53E-11,3.68E+02,
3.99E+05,6.32E-11,3.67E+02,
4.21E+05,6.12E-11,3.67E+02,
4.44E+05,5.93E-11,3.67E+02,
4.69E+05,5.74E-11,3.66E+02,
4.95E+05,5.56E-11,3.66E+02,
5.23E+05,5.39E-11,3.65E+02,
5.52E+05,5.23E-11,3.65E+02,
5.82E+05,5.07E-11,3.65E+02,
6.15E+05,4.92E-11,3.64E+02,
6.49E+05,4.77E-11,3.64E+02,
6.85E+05,4.62E-11,3.63E+02,
7.23E+05,4.48E-11,3.63E+02,
7.63E+05,4.35E-11,3.62E+02,
8.05E+05,4.22E-11,3.62E+02,
8.50E+05,4.10E-11,3.62E+02,
8.98E+05,3.98E-11,3.61E+02,
9.47E+05,3.87E-11,3.61E+02,
1.00E+06,3.76E-11,3.60E+02,
