frecuencia,Z/Cp/Cs,Tetha/Rp/D,
2.00E+01,8.02E-06,1.49E+03,
2.11E+01,7.89E-06,1.41E+03,
2.23E+01,7.73E-06,1.35E+03,
2.35E+01,7.55E-06,1.28E+03,
2.48E+01,7.35E-06,1.22E+03,
2.62E+01,7.15E-06,1.16E+03,
2.77E+01,6.95E-06,1.11E+03,
2.92E+01,6.75E-06,1.06E+03,
3.08E+01,6.54E-06,1.01E+03,
3.26E+01,6.35E-06,9.64E+02,
3.44E+01,6.15E-06,9.20E+02,
3.63E+01,5.93E-06,8.80E+02,
3.83E+01,5.72E-06,8.41E+02,
4.04E+01,5.51E-06,8.05E+02,
4.27E+01,5.31E-06,7.70E+02,
4.50E+01,5.12E-06,7.38E+02,
4.75E+01,4.95E-06,7.07E+02,
5.02E+01,4.74E-06,6.79E+02,
5.30E+01,4.52E-06,6.52E+02,
5.59E+01,4.32E-06,6.27E+02,
5.90E+01,4.14E-06,6.03E+02,
6.23E+01,3.96E-06,5.81E+02,
6.58E+01,3.76E-06,5.60E+02,
6.94E+01,3.57E-06,5.41E+02,
7.33E+01,3.37E-06,5.23E+02,
7.73E+01,3.16E-06,5.07E+02,
8.16E+01,2.97E-06,4.92E+02,
8.62E+01,2.80E-06,4.77E+02,
9.10E+01,2.65E-06,4.63E+02,
9.60E+01,2.50E-06,4.49E+02,
1.01E+02,2.34E-06,4.37E+02,
1.07E+02,2.20E-06,4.26E+02,
1.13E+02,2.06E-06,4.15E+02,
1.19E+02,1.93E-06,4.05E+02,
1.26E+02,1.81E-06,3.95E+02,
1.33E+02,1.69E-06,3.87E+02,
1.40E+02,1.59E-06,3.77E+02,
1.48E+02,1.49E-06,3.68E+02,
1.56E+02,1.39E-06,3.61E+02,
1.65E+02,1.29E-06,3.55E+02,
1.74E+02,1.20E-06,3.48E+02,
1.84E+02,1.12E-06,3.41E+02,
1.94E+02,1.04E-06,3.35E+02,
2.05E+02,9.63E-07,3.30E+02,
2.16E+02,8.93E-07,3.25E+02,
2.28E+02,8.25E-07,3.20E+02,
2.41E+02,7.65E-07,3.16E+02,
2.54E+02,7.02E-07,3.12E+02,
2.68E+02,6.38E-07,3.11E+02,
2.83E+02,5.84E-07,3.08E+02,
2.99E+02,5.41E-07,3.04E+02,
3.16E+02,4.97E-07,3.01E+02,
3.33E+02,4.50E-07,3.00E+02,
3.52E+02,4.06E-07,3.00E+02,
3.71E+02,3.74E-07,2.97E+02,
3.92E+02,3.35E-07,2.97E+02,
4.14E+02,3.01E-07,2.98E+02,
4.37E+02,2.75E-07,2.96E+02,
4.61E+02,2.43E-07,2.98E+02,
4.87E+02,2.19E-07,2.99E+02,
5.14E+02,1.86E-07,3.07E+02,
5.42E+02,1.73E-07,3.03E+02,
5.72E+02,1.85E-07,2.79E+02,
6.04E+02,1.76E-07,2.73E+02,
6.38E+02,1.63E-07,2.69E+02,
6.73E+02,1.50E-07,2.67E+02,
7.11E+02,1.37E-07,2.66E+02,
7.50E+02,1.26E-07,2.64E+02,
7.92E+02,1.14E-07,2.63E+02,
8.36E+02,1.03E-07,2.64E+02,
8.82E+02,9.38E-08,2.62E+02,
9.32E+02,8.60E-08,2.60E+02,
9.83E+02,7.76E-08,2.60E+02,
1.04E+03,6.98E-08,2.61E+02,
1.10E+03,6.40E-08,2.59E+02,
1.16E+03,5.91E-08,2.57E+02,
1.22E+03,5.41E-08,2.55E+02,
1.29E+03,4.91E-08,2.54E+02,
1.36E+03,4.46E-08,2.54E+02,
1.44E+03,4.06E-08,2.53E+02,
1.52E+03,3.70E-08,2.52E+02,
1.60E+03,3.36E-08,2.52E+02,
1.69E+03,3.04E-08,2.51E+02,
1.78E+03,2.77E-08,2.50E+02,
1.88E+03,2.52E-08,2.50E+02,
1.99E+03,2.29E-08,2.49E+02,
2.10E+03,2.08E-08,2.48E+02,
2.21E+03,1.90E-08,2.48E+02,
2.34E+03,1.72E-08,2.47E+02,
2.47E+03,1.56E-08,2.47E+02,
2.60E+03,1.42E-08,2.46E+02,
2.75E+03,1.29E-08,2.46E+02,
2.90E+03,1.17E-08,2.45E+02,
3.06E+03,1.06E-08,2.45E+02,
3.23E+03,9.58E-09,2.45E+02,
3.41E+03,8.69E-09,2.45E+02,
3.60E+03,7.89E-09,2.44E+02,
3.80E+03,7.17E-09,2.44E+02,
4.01E+03,6.50E-09,2.44E+02,
4.24E+03,5.89E-09,2.44E+02,
4.47E+03,5.34E-09,2.44E+02,
4.72E+03,4.84E-09,2.43E+02,
4.98E+03,4.39E-09,2.43E+02,
5.26E+03,3.98E-09,2.43E+02,
5.55E+03,3.61E-09,2.43E+02,
5.86E+03,3.27E-09,2.43E+02,
6.19E+03,2.97E-09,2.43E+02,
6.53E+03,2.69E-09,2.43E+02,
6.89E+03,2.44E-09,2.43E+02,
7.28E+03,2.22E-09,2.43E+02,
7.68E+03,2.01E-09,2.43E+02,
8.11E+03,1.83E-09,2.42E+02,
8.56E+03,1.66E-09,2.42E+02,
9.04E+03,1.51E-09,2.42E+02,
9.54E+03,1.38E-09,2.42E+02,
1.01E+04,1.25E-09,2.42E+02,
1.06E+04,1.14E-09,2.42E+02,
1.12E+04,1.04E-09,2.42E+02,
1.18E+04,9.48E-10,2.42E+02,
1.25E+04,8.66E-10,2.42E+02,
1.32E+04,7.89E-10,2.42E+02,
1.39E+04,7.23E-10,2.42E+02,
1.47E+04,6.60E-10,2.42E+02,
1.55E+04,6.03E-10,2.42E+02,
1.64E+04,5.52E-10,2.43E+02,
1.73E+04,5.07E-10,2.42E+02,
1.83E+04,4.66E-10,2.42E+02,
1.93E+04,4.30E-10,2.42E+02,
2.03E+04,3.97E-10,2.41E+02,
2.15E+04,3.67E-10,2.41E+02,
2.27E+04,3.39E-10,2.41E+02,
2.39E+04,3.13E-10,2.41E+02,
2.53E+04,2.91E-10,2.41E+02,
2.67E+04,2.70E-10,2.40E+02,
2.81E+04,2.52E-10,2.41E+02,
2.97E+04,2.34E-10,2.40E+02,
3.14E+04,2.19E-10,2.40E+02,
3.31E+04,2.05E-10,2.40E+02,
3.49E+04,1.92E-10,2.40E+02,
3.69E+04,1.80E-10,2.40E+02,
3.89E+04,1.70E-10,2.40E+02,
4.11E+04,1.60E-10,2.40E+02,
4.34E+04,1.52E-10,2.40E+02,
4.58E+04,1.44E-10,2.40E+02,
4.83E+04,1.36E-10,2.40E+02,
5.10E+04,1.30E-10,2.40E+02,
5.39E+04,1.24E-10,2.40E+02,
5.69E+04,1.18E-10,2.40E+02,
6.00E+04,1.13E-10,2.40E+02,
6.34E+04,1.09E-10,2.40E+02,
6.69E+04,1.05E-10,2.40E+02,
7.06E+04,1.01E-10,2.40E+02,
7.45E+04,9.73E-11,2.40E+02,
7.87E+04,9.41E-11,2.40E+02,
8.30E+04,9.12E-11,2.39E+02,
8.77E+04,8.84E-11,2.39E+02,
9.25E+04,8.59E-11,2.39E+02,
9.77E+04,8.36E-11,2.39E+02,
1.03E+05,8.14E-11,2.39E+02,
1.09E+05,7.95E-11,2.39E+02,
1.15E+05,7.76E-11,2.39E+02,
1.21E+05,7.60E-11,2.39E+02,
1.28E+05,7.45E-11,2.39E+02,
1.35E+05,7.30E-11,2.39E+02,
1.43E+05,7.16E-11,2.39E+02,
1.51E+05,7.04E-11,2.39E+02,
1.59E+05,6.92E-11,2.39E+02,
1.68E+05,6.81E-11,2.39E+02,
1.77E+05,6.71E-11,2.39E+02,
1.87E+05,6.61E-11,2.39E+02,
1.97E+05,6.51E-11,2.39E+02,
2.08E+05,6.42E-11,2.38E+02,
2.20E+05,6.34E-11,2.38E+02,
2.32E+05,6.27E-11,2.38E+02,
2.45E+05,6.19E-11,2.38E+02,
2.59E+05,6.12E-11,2.38E+02,
2.73E+05,6.06E-11,2.38E+02,
2.88E+05,5.99E-11,2.38E+02,
3.04E+05,5.94E-11,2.38E+02,
3.21E+05,5.88E-11,2.38E+02,
