frecuencia,Z/Cp/Cs,Tetha/Rp/D,
2.00E+01,1.53E+04,-4.74E+00,
2.11E+01,1.53E+04,-4.58E+00,
2.23E+01,1.53E+04,-4.42E+00,
2.35E+01,1.52E+04,-4.28E+00,
2.48E+01,1.52E+04,-4.12E+00,
2.62E+01,1.52E+04,-3.98E+00,
2.77E+01,1.52E+04,-3.85E+00,
2.92E+01,1.52E+04,-3.72E+00,
3.08E+01,1.51E+04,-3.59E+00,
3.26E+01,1.51E+04,-3.47E+00,
3.44E+01,1.51E+04,-3.35E+00,
3.63E+01,1.51E+04,-3.25E+00,
3.83E+01,1.51E+04,-3.16E+00,
4.04E+01,1.50E+04,-3.06E+00,
4.27E+01,1.50E+04,-2.96E+00,
4.50E+01,1.50E+04,-2.85E+00,
4.75E+01,1.50E+04,-2.77E+00,
5.02E+01,1.50E+04,-2.69E+00,
5.30E+01,1.50E+04,-2.60E+00,
5.59E+01,1.50E+04,-2.53E+00,
5.90E+01,1.49E+04,-2.49E+00,
6.23E+01,1.49E+04,-2.42E+00,
6.58E+01,1.49E+04,-2.34E+00,
6.94E+01,1.49E+04,-2.27E+00,
7.33E+01,1.49E+04,-2.21E+00,
7.73E+01,1.49E+04,-2.17E+00,
8.16E+01,1.49E+04,-2.13E+00,
8.62E+01,1.49E+04,-2.08E+00,
9.10E+01,1.49E+04,-2.04E+00,
9.60E+01,1.49E+04,-2.00E+00,
1.01E+02,1.49E+04,-1.96E+00,
1.07E+02,1.49E+04,-1.93E+00,
1.13E+02,1.48E+04,-1.89E+00,
1.19E+02,1.48E+04,-1.86E+00,
1.26E+02,1.48E+04,-1.83E+00,
1.33E+02,1.48E+04,-1.82E+00,
1.40E+02,1.48E+04,-1.80E+00,
1.48E+02,1.48E+04,-1.78E+00,
1.56E+02,1.48E+04,-1.77E+00,
1.65E+02,1.48E+04,-1.75E+00,
1.74E+02,1.48E+04,-1.74E+00,
1.84E+02,1.48E+04,-1.73E+00,
1.94E+02,1.48E+04,-1.73E+00,
2.05E+02,1.48E+04,-1.73E+00,
2.16E+02,1.47E+04,-1.72E+00,
2.28E+02,1.47E+04,-1.73E+00,
2.41E+02,1.47E+04,-1.73E+00,
2.54E+02,1.47E+04,-1.73E+00,
2.68E+02,1.47E+04,-1.74E+00,
2.83E+02,1.47E+04,-1.75E+00,
2.99E+02,1.47E+04,-1.76E+00,
3.16E+02,1.47E+04,-1.78E+00,
3.33E+02,1.47E+04,-1.80E+00,
3.52E+02,1.47E+04,-1.82E+00,
3.71E+02,1.47E+04,-1.84E+00,
3.92E+02,1.46E+04,-1.87E+00,
4.14E+02,1.46E+04,-1.89E+00,
4.37E+02,1.46E+04,-1.93E+00,
4.61E+02,1.46E+04,-1.96E+00,
4.87E+02,1.46E+04,-2.00E+00,
5.14E+02,1.46E+04,-2.03E+00,
5.42E+02,1.46E+04,-2.08E+00,
5.72E+02,1.46E+04,-2.12E+00,
6.04E+02,1.46E+04,-2.17E+00,
6.38E+02,1.46E+04,-2.22E+00,
6.73E+02,1.45E+04,-2.27E+00,
7.11E+02,1.45E+04,-2.33E+00,
7.50E+02,1.45E+04,-2.39E+00,
7.92E+02,1.45E+04,-2.46E+00,
8.36E+02,1.45E+04,-2.53E+00,
8.82E+02,1.45E+04,-2.60E+00,
9.32E+02,1.45E+04,-2.68E+00,
9.83E+02,1.45E+04,-2.76E+00,
1.04E+03,1.45E+04,-2.84E+00,
1.10E+03,1.44E+04,-2.93E+00,
1.16E+03,1.44E+04,-3.02E+00,
1.22E+03,1.44E+04,-3.12E+00,
1.29E+03,1.44E+04,-3.22E+00,
1.36E+03,1.44E+04,-3.33E+00,
1.44E+03,1.44E+04,-3.44E+00,
1.52E+03,1.43E+04,-3.57E+00,
1.60E+03,1.43E+04,-3.69E+00,
1.69E+03,1.43E+04,-3.82E+00,
1.78E+03,1.43E+04,-3.96E+00,
1.88E+03,1.43E+04,-4.10E+00,
1.99E+03,1.43E+04,-4.25E+00,
2.10E+03,1.43E+04,-4.41E+00,
2.21E+03,1.42E+04,-4.58E+00,
2.34E+03,1.42E+04,-4.75E+00,
2.47E+03,1.42E+04,-4.92E+00,
2.60E+03,1.42E+04,-5.11E+00,
2.75E+03,1.41E+04,-5.31E+00,
2.90E+03,1.41E+04,-5.52E+00,
3.06E+03,1.41E+04,-5.73E+00,
3.23E+03,1.41E+04,-5.95E+00,
3.41E+03,1.40E+04,-6.19E+00,
3.60E+03,1.40E+04,-6.43E+00,
3.80E+03,1.40E+04,-6.69E+00,
4.01E+03,1.40E+04,-6.96E+00,
4.24E+03,1.39E+04,-7.24E+00,
4.47E+03,1.39E+04,-7.53E+00,
4.72E+03,1.39E+04,-7.83E+00,
4.98E+03,1.38E+04,-8.14E+00,
5.26E+03,1.38E+04,-8.47E+00,
5.55E+03,1.37E+04,-8.81E+00,
5.86E+03,1.37E+04,-9.17E+00,
6.19E+03,1.37E+04,-9.56E+00,
6.53E+03,1.36E+04,-9.93E+00,
6.89E+03,1.36E+04,-1.03E+01,
7.28E+03,1.35E+04,-1.08E+01,
7.68E+03,1.35E+04,-1.12E+01,
8.11E+03,1.34E+04,-1.17E+01,
8.56E+03,1.34E+04,-1.21E+01,
9.04E+03,1.33E+04,-1.26E+01,
9.54E+03,1.33E+04,-1.32E+01,
1.01E+04,1.32E+04,-1.37E+01,
1.06E+04,1.31E+04,-1.42E+01,
1.12E+04,1.30E+04,-1.48E+01,
1.18E+04,1.30E+04,-1.54E+01,
1.25E+04,1.29E+04,-1.60E+01,
1.32E+04,1.28E+04,-1.67E+01,
1.39E+04,1.27E+04,-1.73E+01,
1.47E+04,1.26E+04,-1.80E+01,
1.55E+04,1.25E+04,-1.88E+01,
1.64E+04,1.24E+04,-1.95E+01,
1.73E+04,1.23E+04,-2.03E+01,
1.83E+04,1.22E+04,-2.11E+01,
1.93E+04,1.21E+04,-2.19E+01,
2.03E+04,1.20E+04,-2.27E+01,
2.15E+04,1.19E+04,-2.36E+01,
2.27E+04,1.17E+04,-2.44E+01,
2.39E+04,1.16E+04,-2.53E+01,
2.53E+04,1.15E+04,-2.63E+01,
2.67E+04,1.13E+04,-2.72E+01,
2.81E+04,1.11E+04,-2.82E+01,
2.97E+04,1.10E+04,-2.92E+01,
3.14E+04,1.08E+04,-3.02E+01,
3.31E+04,1.06E+04,-3.13E+01,
3.49E+04,1.05E+04,-3.23E+01,
3.69E+04,1.03E+04,-3.34E+01,
3.89E+04,1.01E+04,-3.45E+01,
4.11E+04,9.89E+03,-3.56E+01,
4.34E+04,9.69E+03,-3.67E+01,
4.58E+04,9.49E+03,-3.78E+01,
4.83E+04,9.28E+03,-3.89E+01,
5.10E+04,9.06E+03,-4.00E+01,
5.39E+04,8.84E+03,-4.11E+01,
5.69E+04,8.62E+03,-4.23E+01,
6.00E+04,8.40E+03,-4.34E+01,
6.34E+04,8.17E+03,-4.45E+01,
6.69E+04,7.95E+03,-4.56E+01,
7.06E+04,7.72E+03,-4.67E+01,
7.45E+04,7.49E+03,-4.78E+01,
7.87E+04,7.26E+03,-4.89E+01,
8.30E+04,7.03E+03,-5.00E+01,
8.77E+04,6.81E+03,-5.10E+01,
9.25E+04,6.58E+03,-5.20E+01,
9.77E+04,6.36E+03,-5.30E+01,
1.03E+05,6.14E+03,-5.40E+01,
1.09E+05,5.92E+03,-5.50E+01,
1.15E+05,5.70E+03,-5.59E+01,
1.21E+05,5.49E+03,-5.68E+01,
1.28E+05,5.29E+03,-5.77E+01,
1.35E+05,5.09E+03,-5.86E+01,
1.43E+05,4.89E+03,-5.94E+01,
1.51E+05,4.69E+03,-6.02E+01,
1.59E+05,4.51E+03,-6.10E+01,
1.68E+05,4.33E+03,-6.18E+01,
1.77E+05,4.15E+03,-6.25E+01,
1.87E+05,3.98E+03,-6.32E+01,
1.97E+05,3.81E+03,-6.38E+01,
2.08E+05,3.65E+03,-6.44E+01,
2.20E+05,3.49E+03,-6.50E+01,
2.32E+05,3.34E+03,-6.56E+01,
2.45E+05,3.20E+03,-6.61E+01,
2.59E+05,3.06E+03,-6.66E+01,
2.73E+05,2.92E+03,-6.71E+01,
2.88E+05,2.79E+03,-6.76E+01,
3.04E+05,2.67E+03,-6.80E+01,
3.21E+05,2.55E+03,-6.84E+01,
3.39E+05,2.44E+03,-6.87E+01,
3.58E+05,2.32E+03,-6.91E+01,
3.78E+05,2.22E+03,-6.93E+01,
3.99E+05,2.12E+03,-6.96E+01,
4.21E+05,2.02E+03,-6.99E+01,
4.44E+05,1.93E+03,-7.01E+01,
4.69E+05,1.84E+03,-7.02E+01,
4.95E+05,1.76E+03,-7.04E+01,
5.23E+05,1.67E+03,-7.05E+01,
5.52E+05,1.60E+03,-7.06E+01,
5.82E+05,1.52E+03,-7.06E+01,
6.15E+05,1.45E+03,-7.07E+01,
6.49E+05,1.38E+03,-7.07E+01,
6.85E+05,1.32E+03,-7.06E+01,
7.23E+05,1.26E+03,-7.06E+01,
7.63E+05,1.20E+03,-7.05E+01,
8.05E+05,1.15E+03,-7.04E+01,
8.50E+05,1.09E+03,-7.02E+01,
8.98E+05,1.04E+03,-7.00E+01,
9.47E+05,9.94E+02,-6.98E+01,
1.00E+06,9.48E+02,-6.95E+01,
