frecuencia,Z/Cp/Cs,Tetha/Rp/D,
2.00E+01,4.90E-06,8.60E+02,
2.11E+01,5.01E-06,8.77E+02,
2.23E+01,4.98E-06,8.79E+02,
2.35E+01,4.91E-06,8.74E+02,
2.48E+01,4.80E-06,8.65E+02,
2.62E+01,4.69E-06,8.54E+02,
2.77E+01,4.56E-06,8.40E+02,
2.92E+01,4.43E-06,8.26E+02,
3.08E+01,4.30E-06,8.10E+02,
3.26E+01,4.16E-06,7.94E+02,
3.44E+01,4.01E-06,7.78E+02,
3.63E+01,3.87E-06,7.62E+02,
3.83E+01,3.73E-06,7.46E+02,
4.04E+01,3.59E-06,7.30E+02,
4.27E+01,3.46E-06,7.15E+02,
4.50E+01,3.32E-06,6.99E+02,
4.75E+01,3.18E-06,6.83E+02,
5.02E+01,3.05E-06,6.69E+02,
5.30E+01,2.92E-06,6.54E+02,
5.59E+01,2.79E-06,6.40E+02,
5.90E+01,2.66E-06,6.26E+02,
6.23E+01,2.54E-06,6.13E+02,
6.58E+01,2.42E-06,6.00E+02,
6.94E+01,2.30E-06,5.87E+02,
7.33E+01,2.19E-06,5.75E+02,
7.73E+01,2.08E-06,5.63E+02,
8.16E+01,1.97E-06,5.51E+02,
8.62E+01,1.87E-06,5.40E+02,
9.10E+01,1.77E-06,5.29E+02,
9.60E+01,1.67E-06,5.19E+02,
1.01E+02,1.60E-06,5.05E+02,
1.07E+02,1.49E-06,4.99E+02,
1.13E+02,1.40E-06,4.90E+02,
1.19E+02,1.32E-06,4.81E+02,
1.26E+02,1.24E-06,4.72E+02,
1.33E+02,1.16E-06,4.64E+02,
1.40E+02,1.09E-06,4.56E+02,
1.48E+02,1.02E-06,4.49E+02,
1.56E+02,9.53E-07,4.41E+02,
1.65E+02,8.91E-07,4.35E+02,
1.74E+02,8.30E-07,4.28E+02,
1.84E+02,7.73E-07,4.22E+02,
1.94E+02,7.19E-07,4.16E+02,
2.05E+02,6.68E-07,4.11E+02,
2.16E+02,6.20E-07,4.05E+02,
2.28E+02,5.75E-07,4.01E+02,
2.41E+02,5.32E-07,3.96E+02,
2.54E+02,4.92E-07,3.91E+02,
2.68E+02,4.55E-07,3.87E+02,
2.83E+02,4.20E-07,3.83E+02,
2.99E+02,3.88E-07,3.79E+02,
3.16E+02,3.57E-07,3.76E+02,
3.33E+02,3.29E-07,3.73E+02,
3.52E+02,3.03E-07,3.69E+02,
3.71E+02,2.85E-07,3.62E+02,
3.92E+02,2.56E-07,3.64E+02,
4.14E+02,2.35E-07,3.61E+02,
4.37E+02,2.16E-07,3.59E+02,
4.61E+02,1.98E-07,3.56E+02,
4.87E+02,1.81E-07,3.54E+02,
5.14E+02,1.66E-07,3.52E+02,
5.42E+02,1.52E-07,3.50E+02,
5.72E+02,1.39E-07,3.48E+02,
6.04E+02,1.27E-07,3.47E+02,
6.38E+02,1.16E-07,3.45E+02,
6.73E+02,1.06E-07,3.44E+02,
7.11E+02,9.65E-08,3.42E+02,
7.50E+02,8.80E-08,3.41E+02,
7.92E+02,8.03E-08,3.40E+02,
8.36E+02,7.31E-08,3.39E+02,
8.82E+02,6.66E-08,3.38E+02,
9.32E+02,6.07E-08,3.37E+02,
9.83E+02,5.52E-08,3.36E+02,
1.04E+03,5.02E-08,3.35E+02,
1.10E+03,4.57E-08,3.34E+02,
1.16E+03,4.16E-08,3.33E+02,
1.22E+03,3.78E-08,3.33E+02,
1.29E+03,3.43E-08,3.32E+02,
1.36E+03,3.12E-08,3.31E+02,
1.44E+03,2.83E-08,3.31E+02,
1.52E+03,2.57E-08,3.30E+02,
1.60E+03,2.34E-08,3.30E+02,
1.69E+03,2.12E-08,3.29E+02,
1.78E+03,1.93E-08,3.29E+02,
1.88E+03,1.75E-08,3.28E+02,
1.99E+03,1.59E-08,3.28E+02,
2.10E+03,1.44E-08,3.28E+02,
2.21E+03,1.30E-08,3.27E+02,
2.34E+03,1.18E-08,3.27E+02,
2.47E+03,1.07E-08,3.27E+02,
2.60E+03,9.73E-09,3.26E+02,
2.75E+03,8.82E-09,3.26E+02,
2.90E+03,8.00E-09,3.26E+02,
3.06E+03,7.26E-09,3.26E+02,
3.23E+03,6.58E-09,3.25E+02,
3.41E+03,5.97E-09,3.25E+02,
3.60E+03,5.41E-09,3.25E+02,
3.80E+03,4.90E-09,3.25E+02,
4.01E+03,4.45E-09,3.25E+02,
4.24E+03,4.03E-09,3.24E+02,
4.47E+03,3.65E-09,3.24E+02,
4.72E+03,3.31E-09,3.24E+02,
4.98E+03,3.00E-09,3.24E+02,
5.26E+03,2.72E-09,3.24E+02,
5.55E+03,2.47E-09,3.24E+02,
5.86E+03,2.24E-09,3.24E+02,
6.19E+03,2.03E-09,3.24E+02,
6.53E+03,1.85E-09,3.24E+02,
6.89E+03,1.68E-09,3.24E+02,
7.28E+03,1.52E-09,3.23E+02,
7.68E+03,1.38E-09,3.23E+02,
8.11E+03,1.26E-09,3.23E+02,
8.56E+03,1.14E-09,3.23E+02,
9.04E+03,1.04E-09,3.23E+02,
9.54E+03,9.43E-10,3.23E+02,
1.01E+04,8.58E-10,3.23E+02,
1.06E+04,7.82E-10,3.23E+02,
1.12E+04,7.12E-10,3.23E+02,
1.18E+04,6.50E-10,3.23E+02,
1.25E+04,5.93E-10,3.23E+02,
1.32E+04,5.41E-10,3.23E+02,
