frecuencia,Z/Cp/Cs,Tetha/Rp/D,
2.00E+01,7.59E+02,-2.40E+01,
2.11E+01,7.51E+02,-2.45E+01,
2.23E+01,7.42E+02,-2.48E+01,
2.35E+01,7.32E+02,-2.50E+01,
2.48E+01,7.22E+02,-2.52E+01,
2.62E+01,7.13E+02,-2.54E+01,
2.77E+01,7.03E+02,-2.55E+01,
2.92E+01,6.94E+02,-2.56E+01,
3.08E+01,6.84E+02,-2.57E+01,
3.26E+01,6.74E+02,-2.57E+01,
3.44E+01,6.64E+02,-2.56E+01,
3.63E+01,6.55E+02,-2.56E+01,
3.83E+01,6.45E+02,-2.55E+01,
4.04E+01,6.36E+02,-2.54E+01,
4.27E+01,6.27E+02,-2.52E+01,
4.50E+01,6.19E+02,-2.51E+01,
4.75E+01,6.10E+02,-2.50E+01,
5.02E+01,6.02E+02,-2.48E+01,
5.30E+01,5.93E+02,-2.46E+01,
5.59E+01,5.85E+02,-2.44E+01,
5.90E+01,5.77E+02,-2.42E+01,
6.23E+01,5.70E+02,-2.39E+01,
6.58E+01,5.63E+02,-2.37E+01,
6.94E+01,5.55E+02,-2.34E+01,
7.33E+01,5.48E+02,-2.32E+01,
7.73E+01,5.42E+02,-2.29E+01,
8.16E+01,5.35E+02,-2.25E+01,
8.62E+01,5.29E+02,-2.22E+01,
9.10E+01,5.22E+02,-2.19E+01,
9.60E+01,5.17E+02,-2.15E+01,
1.01E+02,5.11E+02,-2.12E+01,
1.07E+02,5.05E+02,-2.08E+01,
1.13E+02,5.00E+02,-2.04E+01,
1.19E+02,4.95E+02,-2.01E+01,
1.26E+02,4.90E+02,-1.97E+01,
1.33E+02,4.85E+02,-1.93E+01,
1.40E+02,4.80E+02,-1.89E+01,
1.48E+02,4.76E+02,-1.85E+01,
1.56E+02,4.71E+02,-1.81E+01,
1.65E+02,4.67E+02,-1.77E+01,
1.74E+02,4.63E+02,-1.73E+01,
1.84E+02,4.59E+02,-1.69E+01,
1.94E+02,4.56E+02,-1.64E+01,
2.05E+02,4.52E+02,-1.60E+01,
2.16E+02,4.49E+02,-1.56E+01,
2.28E+02,4.46E+02,-1.52E+01,
2.41E+02,4.42E+02,-1.48E+01,
2.54E+02,4.39E+02,-1.44E+01,
2.68E+02,4.36E+02,-1.40E+01,
2.83E+02,4.34E+02,-1.36E+01,
2.99E+02,4.31E+02,-1.32E+01,
3.16E+02,4.28E+02,-1.28E+01,
3.33E+02,4.26E+02,-1.24E+01,
3.52E+02,4.24E+02,-1.20E+01,
3.71E+02,4.22E+02,-1.16E+01,
3.92E+02,4.20E+02,-1.13E+01,
4.14E+02,4.18E+02,-1.09E+01,
4.37E+02,4.16E+02,-1.05E+01,
4.61E+02,4.14E+02,-1.02E+01,
4.87E+02,4.12E+02,-9.83E+00,
5.14E+02,4.11E+02,-9.50E+00,
5.42E+02,4.09E+02,-9.17E+00,
5.72E+02,4.08E+02,-8.85E+00,
6.04E+02,4.06E+02,-8.54E+00,
6.38E+02,4.05E+02,-8.23E+00,
6.73E+02,4.04E+02,-7.93E+00,
7.11E+02,4.03E+02,-7.65E+00,
7.50E+02,4.02E+02,-7.37E+00,
7.92E+02,4.01E+02,-7.09E+00,
8.36E+02,4.00E+02,-6.83E+00,
8.82E+02,3.99E+02,-6.57E+00,
9.32E+02,3.98E+02,-6.32E+00,
9.83E+02,3.97E+02,-6.08E+00,
1.04E+03,3.96E+02,-5.84E+00,
1.10E+03,3.96E+02,-5.61E+00,
1.16E+03,3.95E+02,-5.39E+00,
1.22E+03,3.95E+02,-5.18E+00,
1.29E+03,3.94E+02,-4.98E+00,
1.36E+03,3.93E+02,-4.78E+00,
1.44E+03,3.93E+02,-4.59E+00,
1.52E+03,3.93E+02,-4.40E+00,
1.60E+03,3.92E+02,-4.23E+00,
1.69E+03,3.92E+02,-4.06E+00,
1.78E+03,3.92E+02,-3.89E+00,
1.88E+03,3.91E+02,-3.74E+00,
1.99E+03,3.91E+02,-3.59E+00,
2.10E+03,3.91E+02,-3.44E+00,
2.21E+03,3.91E+02,-3.30E+00,
2.34E+03,3.90E+02,-3.17E+00,
2.47E+03,3.90E+02,-3.04E+00,
2.60E+03,3.90E+02,-2.92E+00,
2.75E+03,3.90E+02,-2.80E+00,
2.90E+03,3.89E+02,-2.69E+00,
