frecuencia,Z/Cp/Cs,Tetha/Rp/D,
2.00E+01,8.39E+02,-3.96E+01,
2.11E+01,8.18E+02,-3.98E+01,
2.23E+01,7.98E+02,-3.96E+01,
2.35E+01,7.80E+02,-3.94E+01,
2.48E+01,7.63E+02,-3.89E+01,
2.62E+01,7.46E+02,-3.85E+01,
2.77E+01,7.30E+02,-3.82E+01,
2.92E+01,7.14E+02,-3.78E+01,
3.08E+01,6.99E+02,-3.75E+01,
3.26E+01,6.84E+02,-3.70E+01,
3.44E+01,6.71E+02,-3.66E+01,
3.63E+01,6.57E+02,-3.61E+01,
3.83E+01,6.45E+02,-3.57E+01,
4.04E+01,6.32E+02,-3.52E+01,
4.27E+01,6.20E+02,-3.47E+01,
4.50E+01,6.09E+02,-3.43E+01,
4.75E+01,5.97E+02,-3.38E+01,
5.02E+01,5.87E+02,-3.33E+01,
5.30E+01,5.77E+02,-3.28E+01,
5.59E+01,5.67E+02,-3.22E+01,
5.90E+01,5.57E+02,-3.17E+01,
6.23E+01,5.48E+02,-3.12E+01,
6.58E+01,5.39E+02,-3.06E+01,
6.94E+01,5.30E+02,-3.01E+01,
7.33E+01,5.22E+02,-2.95E+01,
7.73E+01,5.14E+02,-2.90E+01,
8.16E+01,5.06E+02,-2.84E+01,
8.62E+01,4.99E+02,-2.79E+01,
9.10E+01,4.92E+02,-2.73E+01,
9.60E+01,4.85E+02,-2.67E+01,
1.01E+02,4.78E+02,-2.61E+01,
1.07E+02,4.72E+02,-2.56E+01,
1.13E+02,4.66E+02,-2.50E+01,
1.19E+02,4.60E+02,-2.44E+01,
1.26E+02,4.55E+02,-2.38E+01,
1.33E+02,4.49E+02,-2.33E+01,
1.40E+02,4.44E+02,-2.27E+01,
1.48E+02,4.39E+02,-2.21E+01,
1.56E+02,4.34E+02,-2.16E+01,
1.65E+02,4.30E+02,-2.10E+01,
1.74E+02,4.25E+02,-2.04E+01,
1.84E+02,4.21E+02,-1.99E+01,
1.94E+02,4.18E+02,-1.93E+01,
2.05E+02,4.14E+02,-1.88E+01,
2.16E+02,4.10E+02,-1.82E+01,
2.28E+02,4.07E+02,-1.77E+01,
2.41E+02,4.04E+02,-1.72E+01,
2.54E+02,4.00E+02,-1.67E+01,
2.68E+02,3.98E+02,-1.62E+01,
2.83E+02,3.95E+02,-1.57E+01,
2.99E+02,3.92E+02,-1.52E+01,
3.16E+02,3.90E+02,-1.47E+01,
3.33E+02,3.87E+02,-1.42E+01,
3.52E+02,3.85E+02,-1.38E+01,
3.71E+02,3.83E+02,-1.33E+01,
3.92E+02,3.81E+02,-1.29E+01,
4.14E+02,3.79E+02,-1.24E+01,
4.37E+02,3.77E+02,-1.20E+01,
4.61E+02,3.75E+02,-1.16E+01,
4.87E+02,3.74E+02,-1.12E+01,
5.14E+02,3.72E+02,-1.08E+01,
5.42E+02,3.71E+02,-1.04E+01,
5.72E+02,3.69E+02,-1.01E+01,
6.04E+02,3.68E+02,-9.71E+00,
6.38E+02,3.67E+02,-9.36E+00,
6.73E+02,3.66E+02,-9.02E+00,
7.11E+02,3.65E+02,-8.70E+00,
7.50E+02,3.63E+02,-8.38E+00,
7.92E+02,3.62E+02,-8.08E+00,
8.36E+02,3.62E+02,-7.79E+00,
8.82E+02,3.61E+02,-7.51E+00,
9.32E+02,3.60E+02,-7.23E+00,
9.83E+02,3.59E+02,-6.97E+00,
1.04E+03,3.58E+02,-6.71E+00,
1.10E+03,3.58E+02,-6.47E+00,
1.16E+03,3.57E+02,-6.24E+00,
1.22E+03,3.56E+02,-6.01E+00,
1.29E+03,3.56E+02,-5.79E+00,
1.36E+03,3.55E+02,-5.59E+00,
1.44E+03,3.55E+02,-5.39E+00,
1.52E+03,3.54E+02,-5.20E+00,
1.60E+03,3.54E+02,-5.01E+00,
1.69E+03,3.53E+02,-4.84E+00,
1.78E+03,3.53E+02,-4.67E+00,
1.88E+03,3.52E+02,-4.51E+00,
1.99E+03,3.52E+02,-4.35E+00,
2.10E+03,3.52E+02,-4.21E+00,
2.21E+03,3.51E+02,-4.07E+00,
2.34E+03,3.51E+02,-3.93E+00,
2.47E+03,3.51E+02,-3.80E+00,
2.60E+03,3.50E+02,-3.68E+00,
2.75E+03,3.50E+02,-3.56E+00,
2.90E+03,3.50E+02,-3.45E+00,
3.06E+03,3.49E+02,-3.34E+00,
3.23E+03,3.49E+02,-3.24E+00,
3.41E+03,3.49E+02,-3.14E+00,
3.60E+03,3.49E+02,-3.05E+00,
3.80E+03,3.49E+02,-2.96E+00,
4.01E+03,3.48E+02,-2.88E+00,
4.24E+03,3.48E+02,-2.80E+00,
4.47E+03,3.48E+02,-2.72E+00,
4.72E+03,3.48E+02,-2.65E+00,
4.98E+03,3.47E+02,-2.58E+00,
5.26E+03,3.47E+02,-2.51E+00,
5.55E+03,3.47E+02,-2.45E+00,
5.86E+03,3.47E+02,-2.39E+00,
6.19E+03,3.47E+02,-2.34E+00,
6.53E+03,3.46E+02,-2.29E+00,
6.89E+03,3.46E+02,-2.23E+00,
7.28E+03,3.46E+02,-2.19E+00,
7.68E+03,3.46E+02,-2.14E+00,
8.11E+03,3.46E+02,-2.10E+00,
8.56E+03,3.45E+02,-2.06E+00,
9.04E+03,3.45E+02,-2.02E+00,
9.54E+03,3.45E+02,-1.99E+00,
1.01E+04,3.45E+02,-1.96E+00,
1.06E+04,3.45E+02,-1.93E+00,
