frecuencia,Z/Cp/Cs,Tetha/Rp/D,
2.00E+01,8.17E+02,-3.98E+01,
2.11E+01,7.94E+02,-3.96E+01,
2.23E+01,7.74E+02,-3.94E+01,
2.35E+01,7.55E+02,-3.92E+01,
2.48E+01,7.38E+02,-3.90E+01,
2.62E+01,7.22E+02,-3.88E+01,
2.77E+01,7.07E+02,-3.85E+01,
2.92E+01,6.93E+02,-3.82E+01,
3.08E+01,6.79E+02,-3.78E+01,
3.26E+01,6.66E+02,-3.75E+01,
3.44E+01,6.53E+02,-3.71E+01,
3.63E+01,6.41E+02,-3.67E+01,
3.83E+01,6.30E+02,-3.63E+01,
4.04E+01,6.18E+02,-3.59E+01,
4.27E+01,6.07E+02,-3.54E+01,
4.50E+01,5.96E+02,-3.49E+01,
4.75E+01,5.86E+02,-3.45E+01,
5.02E+01,5.76E+02,-3.40E+01,
5.30E+01,5.67E+02,-3.35E+01,
5.59E+01,5.58E+02,-3.30E+01,
5.90E+01,5.49E+02,-3.25E+01,
6.23E+01,5.40E+02,-3.20E+01,
6.58E+01,5.32E+02,-3.14E+01,
6.94E+01,5.24E+02,-3.09E+01,
7.33E+01,5.17E+02,-3.04E+01,
7.73E+01,5.10E+02,-2.98E+01,
8.16E+01,5.03E+02,-2.93E+01,
8.62E+01,4.96E+02,-2.87E+01,
9.10E+01,4.89E+02,-2.81E+01,
9.60E+01,4.82E+02,-2.75E+01,
1.01E+02,4.76E+02,-2.70E+01,
1.07E+02,4.70E+02,-2.64E+01,
1.13E+02,4.65E+02,-2.58E+01,
1.19E+02,4.59E+02,-2.52E+01,
1.26E+02,4.53E+02,-2.46E+01,
1.33E+02,4.48E+02,-2.40E+01,
1.40E+02,4.44E+02,-2.34E+01,
1.48E+02,4.39E+02,-2.28E+01,
1.56E+02,4.34E+02,-2.22E+01,
1.65E+02,4.30E+02,-2.16E+01,
1.74E+02,4.26E+02,-2.11E+01,
1.84E+02,4.22E+02,-2.05E+01,
1.94E+02,4.19E+02,-1.99E+01,
2.05E+02,4.15E+02,-1.93E+01,
2.16E+02,4.12E+02,-1.87E+01,
2.28E+02,4.09E+02,-1.82E+01,
2.41E+02,4.06E+02,-1.76E+01,
2.54E+02,4.03E+02,-1.71E+01,
2.68E+02,4.00E+02,-1.66E+01,
2.83E+02,3.97E+02,-1.60E+01,
2.99E+02,3.95E+02,-1.55E+01,
3.16E+02,3.93E+02,-1.50E+01,
3.33E+02,3.91E+02,-1.45E+01,
3.52E+02,3.88E+02,-1.40E+01,
3.71E+02,3.86E+02,-1.35E+01,
3.92E+02,3.85E+02,-1.30E+01,
4.14E+02,3.83E+02,-1.25E+01,
4.37E+02,3.81E+02,-1.21E+01,
4.61E+02,3.80E+02,-1.16E+01,
4.87E+02,3.78E+02,-1.12E+01,
5.14E+02,3.77E+02,-1.07E+01,
5.42E+02,3.76E+02,-1.03E+01,
5.72E+02,3.75E+02,-9.93E+00,
6.04E+02,3.73E+02,-9.54E+00,
6.38E+02,3.72E+02,-9.16E+00,
6.73E+02,3.71E+02,-8.80E+00,
7.11E+02,3.70E+02,-8.44E+00,
7.50E+02,3.70E+02,-8.10E+00,
7.92E+02,3.69E+02,-7.77E+00,
8.36E+02,3.68E+02,-7.45E+00,
8.82E+02,3.67E+02,-7.15E+00,
9.32E+02,3.67E+02,-6.85E+00,
9.83E+02,3.66E+02,-6.56E+00,
1.04E+03,3.66E+02,-6.28E+00,
1.10E+03,3.65E+02,-6.02E+00,
1.16E+03,3.65E+02,-5.77E+00,
1.22E+03,3.64E+02,-5.52E+00,
1.29E+03,3.64E+02,-5.28E+00,
1.36E+03,3.64E+02,-5.06E+00,
1.44E+03,3.63E+02,-4.84E+00,
1.52E+03,3.63E+02,-4.63E+00,
1.60E+03,3.63E+02,-4.43E+00,
1.69E+03,3.62E+02,-4.24E+00,
1.78E+03,3.62E+02,-4.06E+00,
1.88E+03,3.62E+02,-3.88E+00,
1.99E+03,3.62E+02,-3.71E+00,
2.10E+03,3.62E+02,-3.55E+00,
2.21E+03,3.62E+02,-3.40E+00,
2.34E+03,3.61E+02,-3.25E+00,
2.47E+03,3.61E+02,-3.11E+00,
2.60E+03,3.61E+02,-2.97E+00,
2.75E+03,3.61E+02,-2.84E+00,
2.90E+03,3.61E+02,-2.72E+00,
3.06E+03,3.61E+02,-2.60E+00,
3.23E+03,3.61E+02,-2.48E+00,
3.41E+03,3.61E+02,-2.38E+00,
3.60E+03,3.61E+02,-2.27E+00,
3.80E+03,3.61E+02,-2.17E+00,
4.01E+03,3.61E+02,-2.08E+00,
4.24E+03,3.61E+02,-1.99E+00,
4.47E+03,3.61E+02,-1.90E+00,
4.72E+03,3.61E+02,-1.82E+00,
4.98E+03,3.61E+02,-1.74E+00,
5.26E+03,3.61E+02,-1.66E+00,
5.55E+03,3.61E+02,-1.59E+00,
5.86E+03,3.61E+02,-1.52E+00,
6.19E+03,3.61E+02,-1.46E+00,
6.53E+03,3.61E+02,-1.40E+00,
6.89E+03,3.61E+02,-1.34E+00,
7.28E+03,3.61E+02,-1.28E+00,
7.68E+03,3.61E+02,-1.23E+00,
8.11E+03,3.61E+02,-1.18E+00,
8.56E+03,3.61E+02,-1.13E+00,
9.04E+03,3.61E+02,-1.08E+00,
9.54E+03,3.61E+02,-1.04E+00,
1.01E+04,3.61E+02,-9.97E-01,
1.06E+04,3.61E+02,-9.57E-01,
1.12E+04,3.61E+02,-9.20E-01,
1.18E+04,3.61E+02,-8.85E-01,
1.25E+04,3.61E+02,-8.52E-01,
1.32E+04,3.61E+02,-8.20E-01,
1.39E+04,3.61E+02,-7.90E-01,
1.47E+04,3.61E+02,-7.62E-01,
1.55E+04,3.61E+02,-7.35E-01,
1.64E+04,3.62E+02,-7.09E-01,
1.73E+04,3.62E+02,-6.86E-01,
1.83E+04,3.62E+02,-6.63E-01,
1.93E+04,3.62E+02,-6.42E-01,
2.03E+04,3.62E+02,-6.23E-01,
2.15E+04,3.62E+02,-6.04E-01,
2.27E+04,3.62E+02,-5.87E-01,
2.39E+04,3.62E+02,-5.72E-01,
2.53E+04,3.62E+02,-5.57E-01,
2.67E+04,3.62E+02,-5.44E-01,
2.81E+04,3.62E+02,-5.33E-01,
2.97E+04,3.62E+02,-5.21E-01,
3.14E+04,3.62E+02,-5.12E-01,
3.31E+04,3.62E+02,-5.04E-01,
3.49E+04,3.63E+02,-4.96E-01,
3.69E+04,3.63E+02,-4.89E-01,
3.89E+04,3.63E+02,-4.84E-01,
4.11E+04,3.63E+02,-4.79E-01,
4.34E+04,3.63E+02,-4.75E-01,
4.58E+04,3.63E+02,-4.72E-01,
4.83E+04,3.63E+02,-4.71E-01,
5.10E+04,3.63E+02,-4.70E-01,
5.39E+04,3.63E+02,-4.71E-01,
5.69E+04,3.63E+02,-4.72E-01,
6.00E+04,3.63E+02,-4.74E-01,
6.34E+04,3.63E+02,-4.78E-01,
6.69E+04,3.63E+02,-4.83E-01,
7.06E+04,3.63E+02,-4.88E-01,
7.45E+04,3.64E+02,-4.95E-01,
7.87E+04,3.64E+02,-5.02E-01,
8.30E+04,3.64E+02,-5.11E-01,
8.77E+04,3.64E+02,-5.21E-01,
9.25E+04,3.64E+02,-5.31E-01,
