frecuencia,Z/Cp/Cs,Tetha/Rp/D,
2.00E+01,4.01E-06,6.67E+02,
2.11E+01,4.00E-06,6.93E+02,
2.23E+01,3.97E-06,7.08E+02,
2.35E+01,3.91E-06,7.14E+02,
2.48E+01,3.84E-06,7.16E+02,
2.62E+01,3.75E-06,7.14E+02,
2.77E+01,3.65E-06,7.10E+02,
2.92E+01,3.55E-06,7.04E+02,
3.08E+01,3.44E-06,6.97E+02,
3.26E+01,3.33E-06,6.89E+02,
3.44E+01,3.22E-06,6.80E+02,
3.63E+01,3.11E-06,6.71E+02,
3.83E+01,2.99E-06,6.62E+02,
4.04E+01,2.88E-06,6.53E+02,
4.27E+01,2.77E-06,6.43E+02,
4.50E+01,2.66E-06,6.33E+02,
4.75E+01,2.55E-06,6.24E+02,
5.02E+01,2.45E-06,6.14E+02,
5.30E+01,2.35E-06,6.04E+02,
5.59E+01,2.25E-06,5.95E+02,
5.90E+01,2.15E-06,5.85E+02,
6.23E+01,2.05E-06,5.76E+02,
6.58E+01,1.96E-06,5.67E+02,
6.94E+01,1.87E-06,5.58E+02,
7.33E+01,1.78E-06,5.49E+02,
7.73E+01,1.69E-06,5.41E+02,
8.16E+01,1.61E-06,5.32E+02,
8.62E+01,1.53E-06,5.24E+02,
9.10E+01,1.45E-06,5.16E+02,
9.60E+01,1.38E-06,5.08E+02,
1.01E+02,1.30E-06,5.00E+02,
1.07E+02,1.23E-06,4.93E+02,
1.13E+02,1.17E-06,4.86E+02,
1.19E+02,1.10E-06,4.79E+02,
1.26E+02,1.04E-06,4.72E+02,
1.33E+02,9.79E-07,4.65E+02,
1.40E+02,9.22E-07,4.59E+02,
1.48E+02,8.67E-07,4.53E+02,
1.56E+02,8.14E-07,4.47E+02,
1.65E+02,7.64E-07,4.41E+02,
1.74E+02,7.16E-07,4.35E+02,
1.84E+02,6.71E-07,4.30E+02,
1.94E+02,6.27E-07,4.25E+02,
2.05E+02,5.86E-07,4.20E+02,
2.16E+02,5.47E-07,4.15E+02,
2.28E+02,5.10E-07,4.11E+02,
2.41E+02,4.76E-07,4.06E+02,
2.54E+02,4.43E-07,4.02E+02,
2.68E+02,4.12E-07,3.98E+02,
2.83E+02,3.83E-07,3.95E+02,
2.99E+02,3.55E-07,3.91E+02,
3.16E+02,3.29E-07,3.87E+02,
3.33E+02,3.05E-07,3.84E+02,
3.52E+02,2.82E-07,3.81E+02,
3.71E+02,2.60E-07,3.78E+02,
3.92E+02,2.41E-07,3.75E+02,
4.14E+02,2.22E-07,3.72E+02,
4.37E+02,2.05E-07,3.69E+02,
4.61E+02,1.89E-07,3.67E+02,
4.87E+02,1.74E-07,3.65E+02,
5.14E+02,1.60E-07,3.63E+02,
5.42E+02,1.47E-07,3.61E+02,
5.72E+02,1.35E-07,3.59E+02,
6.04E+02,1.24E-07,3.57E+02,
6.38E+02,1.14E-07,3.55E+02,
6.73E+02,1.04E-07,3.54E+02,
7.11E+02,9.55E-08,3.52E+02,
7.50E+02,8.75E-08,3.51E+02,
7.92E+02,8.01E-08,3.49E+02,
8.36E+02,7.33E-08,3.48E+02,
8.82E+02,6.70E-08,3.47E+02,
9.32E+02,6.13E-08,3.45E+02,
9.83E+02,5.60E-08,3.44E+02,
1.04E+03,5.11E-08,3.43E+02,
1.10E+03,4.66E-08,3.42E+02,
1.16E+03,4.26E-08,3.42E+02,
1.22E+03,3.88E-08,3.41E+02,
1.29E+03,3.54E-08,3.40E+02,
