frecuencia,Z/Cp/Cs,Tetha/Rp/D,
3.31E+04,2.75E+02,-6.45E-01,
3.49E+04,2.75E+02,-6.38E-01,
3.69E+04,2.75E+02,-6.33E-01,
3.89E+04,2.75E+02,-6.29E-01,
4.11E+04,2.75E+02,-6.26E-01,
4.34E+04,2.75E+02,-6.26E-01,
4.58E+04,2.75E+02,-6.27E-01,
4.83E+04,2.75E+02,-6.28E-01,
5.10E+04,2.75E+02,-6.31E-01,
5.39E+04,2.75E+02,-6.35E-01,
5.69E+04,2.75E+02,-6.41E-01,
6.00E+04,2.75E+02,-6.47E-01,
6.34E+04,2.74E+02,-6.55E-01,
6.69E+04,2.74E+02,-6.65E-01,
7.06E+04,2.74E+02,-6.77E-01,
7.45E+04,2.74E+02,-6.91E-01,
7.87E+04,2.74E+02,-7.05E-01,
8.30E+04,2.74E+02,-7.21E-01,
8.77E+04,2.74E+02,-7.39E-01,
9.25E+04,2.74E+02,-7.58E-01,
9.77E+04,2.74E+02,-7.80E-01,
1.03E+05,2.74E+02,-8.02E-01,
1.09E+05,2.74E+02,-8.23E-01,
1.15E+05,2.74E+02,-8.52E-01,
1.21E+05,2.74E+02,-8.78E-01,
1.28E+05,2.74E+02,-9.07E-01,
1.35E+05,2.74E+02,-9.39E-01,
1.43E+05,2.74E+02,-9.73E-01,
1.51E+05,2.73E+02,-1.01E+00,
1.59E+05,2.74E+02,-1.05E+00,
1.68E+05,2.73E+02,-1.09E+00,
1.77E+05,2.73E+02,-1.13E+00,
1.87E+05,2.73E+02,-1.18E+00,
1.97E+05,2.73E+02,-1.23E+00,
2.08E+05,2.73E+02,-1.28E+00,
2.20E+05,2.73E+02,-1.33E+00,
2.32E+05,2.73E+02,-1.39E+00,
2.45E+05,2.73E+02,-1.45E+00,
2.59E+05,2.73E+02,-1.51E+00,
2.73E+05,2.73E+02,-1.58E+00,
2.88E+05,2.73E+02,-1.65E+00,
3.04E+05,2.73E+02,-1.72E+00,
3.21E+05,2.73E+02,-1.80E+00,
3.39E+05,2.73E+02,-1.89E+00,
3.58E+05,2.72E+02,-1.97E+00,
3.78E+05,2.72E+02,-2.06E+00,
3.99E+05,2.72E+02,-2.16E+00,
4.21E+05,2.72E+02,-2.26E+00,
4.44E+05,2.72E+02,-2.37E+00,
4.69E+05,2.72E+02,-2.48E+00,
4.95E+05,2.72E+02,-2.60E+00,
5.23E+05,2.72E+02,-2.72E+00,
5.52E+05,2.72E+02,-2.85E+00,
5.82E+05,2.71E+02,-2.99E+00,
6.15E+05,2.71E+02,-3.13E+00,
6.49E+05,2.71E+02,-3.28E+00,
6.85E+05,2.71E+02,-3.43E+00,
7.23E+05,2.71E+02,-3.60E+00,
7.63E+05,2.70E+02,-3.77E+00,
8.05E+05,2.70E+02,-3.96E+00,
8.50E+05,2.70E+02,-4.15E+00,
8.98E+05,2.70E+02,-4.35E+00,
9.47E+05,2.70E+02,-4.55E+00,
1.00E+06,2.70E+02,-4.78E+00,
