frecuencia,Z/Cp/Cs,Tetha/Rp/D,
4.83E+04,7.19E-07,3.56E-01,
5.10E+04,7.11E-07,3.71E-01,
5.39E+04,7.01E-07,3.88E-01,
5.69E+04,6.92E-07,4.05E-01,
6.00E+04,6.81E-07,4.24E-01,
6.34E+04,6.70E-07,4.43E-01,
6.69E+04,6.59E-07,4.63E-01,
7.06E+04,6.47E-07,4.85E-01,
7.45E+04,6.34E-07,5.07E-01,
7.87E+04,6.20E-07,5.31E-01,
8.30E+04,6.06E-07,5.56E-01,
8.77E+04,5.91E-07,5.82E-01,
9.25E+04,5.76E-07,6.10E-01,
9.77E+04,5.60E-07,6.39E-01,
1.03E+05,5.43E-07,6.70E-01,
1.09E+05,5.26E-07,7.02E-01,
1.15E+05,5.08E-07,7.36E-01,
1.21E+05,4.90E-07,7.72E-01,
1.28E+05,4.71E-07,8.10E-01,
1.35E+05,4.52E-07,8.50E-01,
1.43E+05,4.33E-07,8.92E-01,
1.51E+05,4.13E-07,9.37E-01,
1.59E+05,3.94E-07,9.83E-01,
1.68E+05,3.74E-07,1.03E+00,
1.77E+05,3.55E-07,1.08E+00,
1.87E+05,3.36E-07,1.14E+00,
1.97E+05,3.17E-07,1.20E+00,
2.08E+05,2.98E-07,1.26E+00,
2.20E+05,2.79E-07,1.32E+00,
2.32E+05,2.62E-07,1.39E+00,
2.45E+05,2.44E-07,1.46E+00,
2.59E+05,2.28E-07,1.54E+00,
2.73E+05,2.11E-07,1.62E+00,
2.88E+05,1.96E-07,1.71E+00,
3.04E+05,1.81E-07,1.80E+00,
3.21E+05,1.67E-07,1.90E+00,
3.39E+05,1.54E-07,2.01E+00,
3.58E+05,1.41E-07,2.12E+00,
3.78E+05,1.29E-07,2.24E+00,
3.99E+05,1.18E-07,2.37E+00,
4.21E+05,1.08E-07,2.51E+00,
4.44E+05,9.79E-08,2.66E+00,
4.69E+05,8.88E-08,2.83E+00,
4.95E+05,8.02E-08,3.01E+00,
5.23E+05,7.24E-08,3.21E+00,
5.52E+05,6.50E-08,3.42E+00,
5.82E+05,5.82E-08,3.67E+00,
6.15E+05,5.19E-08,3.94E+00,
6.49E+05,4.61E-08,4.25E+00,
6.85E+05,4.07E-08,4.60E+00,
7.23E+05,3.58E-08,5.01E+00,
7.63E+05,3.12E-08,5.48E+00,
8.05E+05,2.70E-08,6.05E+00,
8.50E+05,2.32E-08,6.73E+00,
8.98E+05,1.96E-08,7.57E+00,
9.47E+05,1.63E-08,8.67E+00,
1.00E+06,1.33E-08,1.01E+01,
