frecuencia,Z/Cp/Cs,Tetha/Rp/D,
9.32E+02,3.80E+02,-6.71E+00,
9.83E+02,3.79E+02,-6.43E+00,
1.04E+03,3.78E+02,-6.16E+00,
1.10E+03,3.78E+02,-5.90E+00,
1.16E+03,3.77E+02,-5.65E+00,
1.22E+03,3.76E+02,-5.41E+00,
1.29E+03,3.76E+02,-5.18E+00,
1.36E+03,3.75E+02,-4.96E+00,
1.44E+03,3.75E+02,-4.75E+00,
1.52E+03,3.74E+02,-4.55E+00,
1.60E+03,3.74E+02,-4.35E+00,
1.69E+03,3.74E+02,-4.16E+00,
1.78E+03,3.73E+02,-3.98E+00,
1.88E+03,3.73E+02,-3.81E+00,
1.99E+03,3.73E+02,-3.65E+00,
2.10E+03,3.72E+02,-3.49E+00,
2.21E+03,3.72E+02,-3.34E+00,
2.34E+03,3.72E+02,-3.19E+00,
2.47E+03,3.72E+02,-3.05E+00,
2.60E+03,3.71E+02,-2.92E+00,
2.75E+03,3.71E+02,-2.79E+00,
2.90E+03,3.71E+02,-2.67E+00,
3.06E+03,3.71E+02,-2.55E+00,
3.23E+03,3.71E+02,-2.44E+00,
3.41E+03,3.71E+02,-2.34E+00,
3.60E+03,3.70E+02,-2.23E+00,
3.80E+03,3.70E+02,-2.14E+00,
4.01E+03,3.70E+02,-2.04E+00,
4.24E+03,3.70E+02,-1.96E+00,
4.47E+03,3.70E+02,-1.87E+00,
4.72E+03,3.70E+02,-1.79E+00,
4.98E+03,3.70E+02,-1.71E+00,
5.26E+03,3.70E+02,-1.64E+00,
5.55E+03,3.70E+02,-1.57E+00,
5.86E+03,3.70E+02,-1.50E+00,
6.19E+03,3.70E+02,-1.44E+00,
6.53E+03,3.70E+02,-1.38E+00,
6.89E+03,3.70E+02,-1.32E+00,
7.28E+03,3.69E+02,-1.26E+00,
7.68E+03,3.69E+02,-1.21E+00,
8.11E+03,3.69E+02,-1.16E+00,
8.56E+03,3.69E+02,-1.11E+00,
9.04E+03,3.69E+02,-1.07E+00,
9.54E+03,3.69E+02,-1.02E+00,
1.01E+04,3.69E+02,-9.82E-01,
1.06E+04,3.69E+02,-9.44E-01,
1.12E+04,3.69E+02,-9.07E-01,
1.18E+04,3.69E+02,-8.73E-01,
1.25E+04,3.69E+02,-8.40E-01,
1.32E+04,3.69E+02,-8.08E-01,
1.39E+04,3.69E+02,-7.79E-01,
1.47E+04,3.69E+02,-7.52E-01,
1.55E+04,3.69E+02,-7.25E-01,
1.64E+04,3.69E+02,-7.01E-01,
1.73E+04,3.69E+02,-6.78E-01,
1.83E+04,3.69E+02,-6.55E-01,
1.93E+04,3.69E+02,-6.36E-01,
2.03E+04,3.69E+02,-6.16E-01,
2.15E+04,3.70E+02,-5.98E-01,
2.27E+04,3.70E+02,-5.82E-01,
2.39E+04,3.70E+02,-5.66E-01,
2.53E+04,3.70E+02,-5.52E-01,
2.67E+04,3.70E+02,-5.40E-01,
2.81E+04,3.70E+02,-5.29E-01,
2.97E+04,3.70E+02,-5.18E-01,
3.14E+04,3.70E+02,-5.10E-01,
3.31E+04,3.70E+02,-5.02E-01,
3.49E+04,3.70E+02,-4.94E-01,
3.69E+04,3.70E+02,-4.88E-01,
3.89E+04,3.70E+02,-4.83E-01,
4.11E+04,3.70E+02,-4.79E-01,
4.34E+04,3.70E+02,-4.76E-01,
4.58E+04,3.70E+02,-4.74E-01,
4.83E+04,3.70E+02,-4.73E-01,
5.10E+04,3.70E+02,-4.73E-01,
5.39E+04,3.70E+02,-4.74E-01,
5.69E+04,3.70E+02,-4.76E-01,
6.00E+04,3.70E+02,-4.79E-01,
6.34E+04,3.70E+02,-4.83E-01,
6.69E+04,3.70E+02,-4.89E-01,
7.06E+04,3.70E+02,-4.95E-01,
7.45E+04,3.70E+02,-5.02E-01,
7.87E+04,3.70E+02,-5.11E-01,
8.30E+04,3.70E+02,-5.21E-01,
8.77E+04,3.70E+02,-5.32E-01,
9.25E+04,3.70E+02,-5.44E-01,
9.77E+04,3.70E+02,-5.57E-01,
1.03E+05,3.71E+02,-5.72E-01,
1.09E+05,3.71E+02,-5.87E-01,
1.15E+05,3.71E+02,-6.05E-01,
1.21E+05,3.71E+02,-6.23E-01,
1.28E+05,3.71E+02,-6.43E-01,
1.35E+05,3.71E+02,-6.64E-01,
1.43E+05,3.71E+02,-6.87E-01,
1.51E+05,3.71E+02,-7.12E-01,
1.59E+05,3.71E+02,-7.38E-01,
1.68E+05,3.71E+02,-7.66E-01,
1.77E+05,3.71E+02,-7.95E-01,
1.87E+05,3.71E+02,-8.27E-01,
1.97E+05,3.71E+02,-8.60E-01,
2.08E+05,3.71E+02,-8.95E-01,
2.20E+05,3.71E+02,-9.33E-01,
2.32E+05,3.71E+02,-9.72E-01,
2.45E+05,3.71E+02,-1.01E+00,
2.59E+05,3.71E+02,-1.06E+00,
2.73E+05,3.71E+02,-1.10E+00,
2.88E+05,3.71E+02,-1.15E+00,
3.04E+05,3.71E+02,-1.20E+00,
3.21E+05,3.71E+02,-1.26E+00,
3.39E+05,3.71E+02,-1.32E+00,
3.58E+05,3.71E+02,-1.38E+00,
3.78E+05,3.71E+02,-1.44E+00,
3.99E+05,3.71E+02,-1.51E+00,
4.21E+05,3.71E+02,-1.58E+00,
4.44E+05,3.71E+02,-1.65E+00,
4.69E+05,3.71E+02,-1.73E+00,
4.95E+05,3.71E+02,-1.82E+00,
5.23E+05,3.71E+02,-1.90E+00,
5.52E+05,3.71E+02,-1.99E+00,
5.82E+05,3.71E+02,-2.09E+00,
6.15E+05,3.71E+02,-2.19E+00,
6.49E+05,3.71E+02,-2.30E+00,
6.85E+05,3.71E+02,-2.41E+00,
7.23E+05,3.71E+02,-2.53E+00,
7.63E+05,3.71E+02,-2.65E+00,
8.05E+05,3.71E+02,-2.78E+00,
8.50E+05,3.71E+02,-2.91E+00,
8.98E+05,3.71E+02,-3.06E+00,
9.47E+05,3.71E+02,-3.21E+00,
1.00E+06,3.70E+02,-3.36E+00,
