frecuencia,Z/Cp/Cs,Tetha/Rp/D,
3.31E+04,3.23E+02,-7.16E-01,
3.49E+04,3.23E+02,-7.19E-01,
3.69E+04,3.22E+02,-7.24E-01,
3.89E+04,3.21E+02,-7.28E-01,
4.11E+04,3.21E+02,-7.35E-01,
4.34E+04,3.19E+02,-7.41E-01,
4.58E+04,3.18E+02,-7.48E-01,
4.83E+04,3.17E+02,-7.58E-01,
5.10E+04,3.17E+02,-7.72E-01,
5.39E+04,3.17E+02,-7.87E-01,
5.69E+04,3.16E+02,-8.03E-01,
6.00E+04,3.15E+02,-8.19E-01,
6.34E+04,3.15E+02,-8.39E-01,
6.69E+04,3.15E+02,-8.62E-01,
7.06E+04,3.14E+02,-8.82E-01,
7.45E+04,3.13E+02,-9.04E-01,
7.87E+04,3.12E+02,-9.26E-01,
8.30E+04,3.11E+02,-9.50E-01,
8.77E+04,3.09E+02,-9.73E-01,
9.25E+04,3.08E+02,-1.00E+00,
9.77E+04,3.07E+02,-1.03E+00,
1.03E+05,3.08E+02,-1.07E+00,
1.09E+05,3.06E+02,-1.10E+00,
1.15E+05,3.06E+02,-1.14E+00,
1.21E+05,3.06E+02,-1.19E+00,
1.28E+05,3.06E+02,-1.23E+00,
1.35E+05,3.06E+02,-1.28E+00,
1.43E+05,3.05E+02,-1.33E+00,
1.51E+05,3.04E+02,-1.37E+00,
1.59E+05,3.03E+02,-1.42E+00,
1.68E+05,3.02E+02,-1.48E+00,
1.77E+05,3.02E+02,-1.53E+00,
1.87E+05,3.01E+02,-1.59E+00,
1.97E+05,3.00E+02,-1.65E+00,
2.08E+05,3.00E+02,-1.73E+00,
2.20E+05,3.00E+02,-1.80E+00,
2.32E+05,2.99E+02,-1.88E+00,
2.45E+05,2.99E+02,-1.96E+00,
2.59E+05,2.98E+02,-2.04E+00,
2.73E+05,2.97E+02,-2.12E+00,
2.88E+05,2.96E+02,-2.20E+00,
3.04E+05,2.95E+02,-2.29E+00,
3.21E+05,2.94E+02,-2.39E+00,
3.39E+05,2.94E+02,-2.49E+00,
3.58E+05,2.93E+02,-2.59E+00,
3.78E+05,2.92E+02,-2.70E+00,
3.99E+05,2.92E+02,-2.82E+00,
4.21E+05,2.91E+02,-2.94E+00,
4.44E+05,2.91E+02,-3.08E+00,
4.69E+05,2.90E+02,-3.22E+00,
4.95E+05,2.90E+02,-3.36E+00,
5.23E+05,2.90E+02,-3.52E+00,
5.52E+05,2.89E+02,-3.68E+00,
5.82E+05,2.88E+02,-3.85E+00,
6.15E+05,2.88E+02,-4.02E+00,
6.49E+05,2.87E+02,-4.19E+00,
6.85E+05,2.86E+02,-4.38E+00,
7.23E+05,2.86E+02,-4.58E+00,
7.63E+05,2.85E+02,-4.79E+00,
8.05E+05,2.85E+02,-5.03E+00,
8.50E+05,2.84E+02,-5.25E+00,
8.98E+05,2.84E+02,-5.48E+00,
9.47E+05,2.83E+02,-5.74E+00,
1.00E+06,2.83E+02,-6.00E+00,
