frecuencia,Z/Cp/Cs,Tetha/Rp/D,
2.00E+01,6.85E-06,1.61E+03,
2.11E+01,6.69E-06,1.54E+03,
2.23E+01,6.51E-06,1.47E+03,
2.35E+01,6.34E-06,1.40E+03,
2.48E+01,6.15E-06,1.34E+03,
2.62E+01,5.97E-06,1.29E+03,
2.77E+01,5.79E-06,1.23E+03,
2.92E+01,5.61E-06,1.18E+03,
3.08E+01,5.44E-06,1.13E+03,
3.26E+01,5.26E-06,1.08E+03,
3.44E+01,5.08E-06,1.04E+03,
3.63E+01,4.91E-06,9.96E+02,
3.83E+01,4.73E-06,9.56E+02,
4.04E+01,4.56E-06,9.19E+02,
4.27E+01,4.39E-06,8.83E+02,
4.50E+01,4.23E-06,8.49E+02,
4.75E+01,4.06E-06,8.16E+02,
5.02E+01,3.90E-06,7.86E+02,
5.30E+01,3.74E-06,7.57E+02,
5.59E+01,3.58E-06,7.29E+02,
5.90E+01,3.43E-06,7.03E+02,
6.23E+01,3.28E-06,6.79E+02,
6.58E+01,3.13E-06,6.56E+02,
6.94E+01,2.98E-06,6.34E+02,
7.33E+01,2.84E-06,6.13E+02,
7.73E+01,2.70E-06,5.93E+02,
8.16E+01,2.57E-06,5.75E+02,
8.62E+01,2.44E-06,5.57E+02,
9.10E+01,2.31E-06,5.41E+02,
9.60E+01,2.19E-06,5.25E+02,
1.01E+02,2.07E-06,5.10E+02,
1.07E+02,1.96E-06,4.96E+02,
1.13E+02,1.85E-06,4.83E+02,
1.19E+02,1.74E-06,4.71E+02,
1.26E+02,1.64E-06,4.59E+02,
1.33E+02,1.54E-06,4.48E+02,
1.40E+02,1.45E-06,4.38E+02,
1.48E+02,1.36E-06,4.28E+02,
1.56E+02,1.27E-06,4.19E+02,
1.65E+02,1.19E-06,4.10E+02,
1.74E+02,1.11E-06,4.02E+02,
1.84E+02,1.04E-06,3.94E+02,
1.94E+02,9.66E-07,3.87E+02,
2.05E+02,9.00E-07,3.80E+02,
2.16E+02,8.37E-07,3.74E+02,
2.28E+02,7.78E-07,3.68E+02,
2.41E+02,7.22E-07,3.62E+02,
2.54E+02,6.70E-07,3.57E+02,
2.68E+02,6.21E-07,3.52E+02,
2.83E+02,5.75E-07,3.47E+02,
2.99E+02,5.32E-07,3.43E+02,
3.16E+02,4.91E-07,3.38E+02,
3.33E+02,4.53E-07,3.35E+02,
3.52E+02,4.18E-07,3.31E+02,
3.71E+02,3.86E-07,3.27E+02,
3.92E+02,3.55E-07,3.24E+02,
4.14E+02,3.27E-07,3.21E+02,
4.37E+02,3.00E-07,3.18E+02,
4.61E+02,2.75E-07,3.16E+02,
4.87E+02,2.53E-07,3.13E+02,
5.14E+02,2.31E-07,3.12E+02,
5.42E+02,2.12E-07,3.09E+02,
5.72E+02,1.94E-07,3.07E+02,
6.04E+02,1.77E-07,3.06E+02,
6.38E+02,1.62E-07,3.03E+02,
6.73E+02,1.48E-07,3.02E+02,
7.11E+02,1.36E-07,3.00E+02,
7.50E+02,1.24E-07,2.99E+02,
7.92E+02,1.13E-07,2.98E+02,
8.36E+02,1.03E-07,2.96E+02,
8.82E+02,9.38E-08,2.95E+02,
9.32E+02,8.57E-08,2.94E+02,
9.83E+02,7.79E-08,2.93E+02,
1.04E+03,7.13E-08,2.91E+02,
1.10E+03,6.48E-08,2.90E+02,
1.16E+03,5.91E-08,2.90E+02,
1.22E+03,5.37E-08,2.89E+02,
1.29E+03,4.89E-08,2.88E+02,
1.36E+03,4.45E-08,2.87E+02,
1.44E+03,4.04E-08,2.87E+02,
1.52E+03,3.66E-08,2.86E+02,
1.60E+03,3.32E-08,2.86E+02,
1.69E+03,3.02E-08,2.85E+02,
1.78E+03,2.74E-08,2.85E+02,
1.88E+03,2.49E-08,2.85E+02,
1.99E+03,2.26E-08,2.84E+02,
2.10E+03,2.05E-08,2.84E+02,
2.21E+03,1.86E-08,2.83E+02,
2.34E+03,1.69E-08,2.83E+02,
2.47E+03,1.53E-08,2.83E+02,
2.60E+03,1.39E-08,2.82E+02,
2.75E+03,1.26E-08,2.82E+02,
2.90E+03,1.14E-08,2.82E+02,
3.06E+03,1.03E-08,2.82E+02,
3.23E+03,9.34E-09,2.82E+02,
3.41E+03,8.46E-09,2.82E+02,
3.60E+03,7.67E-09,2.82E+02,
3.80E+03,6.98E-09,2.81E+02,
4.01E+03,6.32E-09,2.81E+02,
4.24E+03,5.72E-09,2.81E+02,
4.47E+03,5.20E-09,2.81E+02,
4.72E+03,4.71E-09,2.80E+02,
4.98E+03,4.28E-09,2.80E+02,
5.26E+03,3.88E-09,2.80E+02,
5.55E+03,3.50E-09,2.81E+02,
5.86E+03,3.18E-09,2.80E+02,
6.19E+03,2.89E-09,2.80E+02,
